[216] ['1', '14', '55'] -> (55 / 14) - 1 mod 59
[217] ['1', '14', '56'] -> (1 - 14) / 56 mod 59
[218] ['1', '15', '17'] -> 1 / (15 + 17) mod 59
[219] ['1', '15', '18'] -> 18 / (1 - 15) mod 59
[220] ['1', '15', '20'] -> 20 + (1 / 15) mod 59
[221] ['1', '15', '23'] -> 15 * (1 - 23) mod 59
[222] ['1', '15', '24'] -> (1 - 15) / 24 mod 59
[223] ['1', '15', '25'] -> 1 - (15 / 25) mod 59
[224] ['1', '15', '26'] -> 1 - (15 * 26) mod 59
[225] ['1', '15', '27'] -> 27 * (15 - 1) mod 59
[226] ['1', '15', '28'] -> 28 - (1 / 15) mod 59
[227] ['1', '15', '30'] -> 30 / (1 + 15) mod 59
[228] ['1', '15', '31'] -> 31 * (1 + 15) mod 59
[229] ['1', '15', '32'] -> 32 * (1 - 15) mod 59
[230] ['1', '15', '33'] -> 1 + (15 * 33) mod 59
[231] ['1', '15', '34'] -> 1 + (15 / 34) mod 59
[232] ['1', '15', '35'] -> (15 - 1) / 35 mod 59
[233] ['1', '15', '42'] -> 1 / (15 - 42) mod 59
[234] ['1', '15', '46'] -> 15 + (1 / 46) mod 59
[235] ['1', '15', '47'] -> 1 / (47 - 15) mod 59
[236] ['1', '15', '52'] -> 15 / (1 - 52) mod 59
[237] ['1', '15', '54'] -> (1 - 54) / 15 mod 59
[238] ['1', '15', '56'] -> (1 / 56) - 15 mod 59
[239] ['1', '16', '16'] -> 1 / (16 + 16) mod 59
[240] ['1', '16', '17'] -> 1 - (16 * 17) mod 59
[241] ['1', '16', '24'] -> (1 / 16) - 24 mod 59
[242] ['1', '16', '32'] -> 16 * (32 - 1) mod 59
[243] ['1', '16', '35'] -> 35 + (1 / 16) mod 59
[244] ['1', '16', '42'] -> 1 + (16 * 42) mod 59
[245] ['1', '16', '43'] -> 1 / (16 - 43) mod 59
[246] ['1', '16', '45'] -> 1 - (45 / 16) mod 59
[247] ['1', '16', '46'] -> (46 / 16) - 1 mod 59
[248] ['1', '16', '48'] -> 1 / (48 - 16) mod 59
[249] ['1', '16', '53'] -> 53 / (1 - 16) mod 59
[250] ['1', '16', '54'] -> 54 / (1 + 16) mod 59
[251] ['1', '17', '17'] -> 17 + (1 / 17) mod 59
[252] ['1', '17', '21'] -> 21 * (1 + 17) mod 59
[253] ['1', '17', '22'] -> 1 - (22 / 17) mod 59
[254] ['1', '17', '28'] -> 28 * (1 - 17) mod 59
[255] ['1', '17', '30'] -> 30 / (17 - 1) mod 59
[256] ['1', '17', '36'] -> (1 / 36) - 17 mod 59
[257] ['1', '17', '37'] -> 1 + (37 / 17) mod 59
[258] ['1', '17', '43'] -> 1 + (17 * 43) mod 59
[259] ['1', '17', '44'] -> 1 / (17 - 44) mod 59
[260] ['1', '17', '45'] -> (1 + 17) / 45 mod 59
[261] ['1', '17', '48'] -> 1 - (17 / 48) mod 59
[262] ['1', '17', '55'] -> (55 - 1) / 17 mod 59
[263] ['1', '17', '57'] -> (17 * 57) - 1 mod 59
[264] ['1', '18', '22'] -> 18 * (22 - 1) mod 59
[265] ['1', '18', '23'] -> 23 * (1 + 18) mod 59
[266] ['1', '18', '29'] -> 1 + (18 / 29) mod 59
[267] ['1', '18', '30'] -> 1 - (18 / 30) mod 59
[268] ['1', '18', '37'] -> (37 / 18) - 1 mod 59
[269] ['1', '18', '39'] -> 18 * (1 - 39) mod 59
[270] ['1', '18', '47'] -> 47 - (1 / 18) mod 59
[271] ['1', '18', '49'] -> 18 - (1 / 49) mod 59
[272] ['1', '18', '55'] -> (18 / 55) - 1 mod 59
[273] ['1', '18', '57'] -> 1 + (18 * 57) mod 59
[274] ['1', '19', '19'] -> 19 / (19 - 1) mod 59
[275] ['1', '19', '21'] -> 21 * (19 - 1) mod 59
[276] ['1', '19', '35'] -> 1 - (35 / 19) mod 59
[277] ['1', '19', '37'] -> 19 * (1 - 37) mod 59
[278] ['1', '19', '38'] -> 38 * (1 - 19) mod 59
[279] ['1', '19', '40'] -> 40 / (1 - 19) mod 59
[280] ['1', '19', '45'] -> (19 - 1) / 45 mod 59
[281] ['1', '19', '46'] -> 1 / (19 - 46) mod 59
[282] ['1', '19', '50'] -> (1 + 19) / 50 mod 59
[283] ['1', '19', '52'] -> 52 - (1 / 19) mod 59
[284] ['1', '20', '21'] -> 21 + (1 / 20) mod 59
[285] ['1', '20', '27'] -> 27 - (1 / 20) mod 59
[286] ['1', '20', '28'] -> (28 / 20) - 1 mod 59
[287] ['1', '20', '32'] -> 32 / (1 + 20) mod 59
[288] ['1', '20', '36'] -> 36 * (1 - 20) mod 59
[289] ['1', '20', '38'] -> (1 / 20) - 38 mod 59
