[144] ['1', '9', '17'] -> 17 * (1 + 9) mod 73
[145] ['1', '9', '19'] -> (9 * 19) - 1 mod 73
[146] ['1', '9', '21'] -> 21 / (1 + 9) mod 73
[147] ['1', '9', '25'] -> 1 - (9 / 25) mod 73
[148] ['1', '9', '26'] -> 9 * (1 + 26) mod 73
[149] ['1', '9', '31'] -> (1 / 31) - 9 mod 73
[150] ['1', '9', '35'] -> 1 + (9 * 35) mod 73
[151] ['1', '9', '38'] -> 1 - (9 * 38) mod 73
[152] ['1', '9', '39'] -> 9 + (1 / 39) mod 73
[153] ['1', '9', '43'] -> (1 + 9) / 43 mod 73
[154] ['1', '9', '45'] -> 9 / (1 + 45) mod 73
[155] ['1', '9', '48'] -> 1 + (9 / 48) mod 73
[156] ['1', '9', '49'] -> (9 - 1) / 49 mod 73
[157] ['1', '9', '50'] -> (9 / 50) - 1 mod 73
[158] ['1', '9', '69'] -> (1 + 69) / 9 mod 73
[159] ['1', '9', '71'] -> (71 - 1) / 9 mod 73
[160] ['1', '10', '11'] -> 1 + (11 / 10) mod 73
[161] ['1', '10', '16'] -> 10 * (1 + 16) mod 73
[162] ['1', '10', '18'] -> 10 * (18 - 1) mod 73
[163] ['1', '10', '20'] -> (1 + 20) / 10 mod 73
[164] ['1', '10', '22'] -> (22 - 1) / 10 mod 73
[165] ['1', '10', '26'] -> 10 - (1 / 26) mod 73
[166] ['1', '10', '29'] -> 1 + (10 / 29) mod 73
[167] ['1', '10', '39'] -> (10 * 39) - 1 mod 73
[168] ['1', '10', '45'] -> 45 / (1 + 10) mod 73
[169] ['1', '10', '47'] -> 10 + (1 / 47) mod 73
[170] ['1', '10', '53'] -> (1 - 53) / 10 mod 73
[171] ['1', '10', '57'] -> 10 * (1 - 57) mod 73
[172] ['1', '10', '62'] -> 1 - (62 / 10) mod 73
[173] ['1', '10', '68'] -> 1 + (10 * 68) mod 73
[174] ['1', '10', '70'] -> 70 / (10 - 1) mod 73
[175] ['1', '10', '71'] -> (1 / 10) - 71 mod 73
[176] ['1', '11', '17'] -> 17 * (11 - 1) mod 73
[177] ['1', '11', '21'] -> 21 / (11 - 1) mod 73
[178] ['1', '11', '22'] -> 1 + (11 * 22) mod 73
[179] ['1', '11', '28'] -> 11 - (1 / 28) mod 73
[180] ['1', '11', '29'] -> (1 - 29) / 11 mod 73
[181] ['1', '11', '30'] -> (1 - 11) / 30 mod 73
[182] ['1', '11', '32'] -> 11 * (1 - 32) mod 73
[183] ['1', '11', '37'] -> (1 + 11) / 37 mod 73
[184] ['1', '11', '46'] -> (46 - 1) / 11 mod 73
[185] ['1', '11', '48'] -> (1 / 48) - 11 mod 73
[186] ['1', '11', '51'] -> 1 - (11 * 51) mod 73
[187] ['1', '11', '52'] -> 52 / (1 - 11) mod 73
[188] ['1', '11', '53'] -> (11 / 53) - 1 mod 73
[189] ['1', '11', '62'] -> (11 * 62) - 1 mod 73
[190] ['1', '11', '63'] -> 1 - (11 / 63) mod 73
[191] ['1', '12', '15'] -> 1 / (12 - 15) mod 73
[192] ['1', '12', '16'] -> 1 - (16 / 12) mod 73
[193] ['1', '12', '20'] -> 20 / (1 + 12) mod 73
[194] ['1', '12', '28'] -> 28 / (1 - 12) mod 73
[195] ['1', '12', '30'] -> 30 + (1 / 12) mod 73
[196] ['1', '12', '31'] -> 31 * (1 - 12) mod 73
[197] ['1', '12', '33'] -> (1 - 12) / 33 mod 73
[198] ['1', '12', '34'] -> (1 + 12) / 34 mod 73
[199] ['1', '12', '40'] -> (12 - 1) / 40 mod 73
[200] ['1', '12', '42'] -> 42 * (12 - 1) mod 73
[201] ['1', '12', '43'] -> (1 / 12) - 43 mod 73
[202] ['1', '12', '45'] -> 45 / (12 - 1) mod 73
[203] ['1', '12', '57'] -> 1 + (57 / 12) mod 73
[204] ['1', '12', '64'] -> 1 + (12 / 64) mod 73
[205] ['1', '12', '65'] -> 1 - (12 * 65) mod 73
[206] ['1', '12', '67'] -> 12 + (1 / 67) mod 73
[207] ['1', '12', '68'] -> (1 + 68) / 12 mod 73
[208] ['1', '12', '70'] -> (70 - 1) / 12 mod 73
[209] ['1', '12', '71'] -> (1 / 71) - 12 mod 73
[210] ['1', '12', '72'] -> 12 * (1 - 72) mod 73
[211] ['1', '13', '13'] -> 1 + (13 * 13) mod 73
[212] ['1', '13', '19'] -> (1 + 19) / 13 mod 73
[213] ['1', '13', '28'] -> 1 - (13 / 28) mod 73
[214] ['1', '13', '30'] -> (13 * 30) - 1 mod 73
[215] ['1', '13', '31'] -> (1 + 13) / 31 mod 73
[216] ['1', '13', '35'] -> 13 / (35 - 1) mod 73
[217] ['1', '13', '40'] -> 13 / (1 - 40) mod 73
[218] ['1', '13', '44'] -> 44 / (1 + 13) mod 73
[219] ['1', '13', '45'] -> 1 + (13 / 45) mod 73
[220] ['1', '13', '52'] -> 52 + (1 / 13) mod 73
[221] ['1', '13', '53'] -> 13 - (1 / 53) mod 73
[222] ['1', '13', '54'] -> (1 - 54) / 13 mod 73
