[129] ['1', '1', '21', '33'] -> ((1 + 1) * (33 - 21))
[130] ['1', '1', '22', '23'] -> (((1 + 1) * 23) - 22)
[131] ['1', '1', '22', '26'] -> ((22 + 26) / (1 + 1))
[132] ['1', '1', '22', '34'] -> ((1 + 1) * (34 - 22))
[133] ['1', '1', '22', '35'] -> (35 - (22 / (1 + 1)))
[134] ['1', '1', '23', '23'] -> (((1 / 23) + 1) * 23)
[135] ['1', '1', '23', '25'] -> ((23 + 25) / (1 + 1))
[136] ['1', '1', '23', '35'] -> ((1 + 1) * (35 - 23))
[137] ['1', '1', '25', '25'] -> ((1 - (1 / 25)) * 25)
[138] ['1', '1', '25', '26'] -> (((1 + 1) * 25) - 26)
[139] ['1', '1', '25', '37'] -> ((1 + 1) * (37 - 25))
[140] ['1', '1', '26', '28'] -> (((1 + 1) * 26) - 28)
[141] ['1', '1', '26', '37'] -> (37 - (26 / (1 + 1)))
[142] ['1', '1', '26', '38'] -> ((1 + 1) * (38 - 26))
[143] ['1', '1', '27', '30'] -> (((1 + 1) * 27) - 30)
[144] ['1', '1', '27', '39'] -> ((1 + 1) * (39 - 27))
[145] ['1', '1', '28', '32'] -> (((1 + 1) * 28) - 32)
[146] ['1', '1', '28', '38'] -> (38 - (28 / (1 + 1)))
[147] ['1', '1', '28', '40'] -> ((1 + 1) * (40 - 28))
[148] ['1', '1', '29', '34'] -> (((1 + 1) * 29) - 34)
[149] ['1', '2', '8', '45'] -> (45 / (2 - (1 / 8)))
[150] ['1', '2', '9', '11'] -> (((1 + 2) * 11) - 9)
[151] ['1', '2', '9', '19'] -> (((1 + 9) / 2) + 19)
[152] ['1', '2', '9', '27'] -> (27 - (9 / (1 + 2)))
[153] ['1', '2', '9', '37'] -> (((37 + 9) / 2) + 1)
[154] ['1', '2', '9', '44'] -> (44 - ((1 + 9) * 2))
[155] ['1', '2', '9', '45'] -> ((45 / (1 + 2)) + 9)
[156] ['1', '2', '10', '27'] -> (((1 + 27) / 2) + 10)
[157] ['1', '2', '10', '40'] -> (((10 + 40) / 2) - 1)
[158] ['1', '2', '10', '46'] -> (46 - ((1 + 10) * 2))
[159] ['1', '2', '11', '25'] -> (((1 + 25) / 2) + 11)
[160] ['1', '2', '11', '30'] -> (30 - ((1 + 11) / 2))
[161] ['1', '2', '11', '48'] -> (48 - ((1 + 11) * 2))
[162] ['1', '2', '13', '15'] -> (((1 + 2) * 13) - 15)
[163] ['1', '2', '13', '17'] -> (((1 + 13) / 2) + 17)
[164] ['1', '2', '13', '31'] -> (31 - ((1 + 13) / 2))
[165] ['1', '2', '14', '28'] -> ((1 - (2 / 14)) * 28)
[166] ['1', '2', '15', '21'] -> (((1 + 2) * 15) - 21)
[167] ['1', '2', '15', '23'] -> ((1 + 2) * (23 - 15))
[168] ['1', '2', '15', '29'] -> (29 - (15 / (1 + 2)))
