[179] ['1', '22', '22'] -> 22 + (1 / 22) mod 43
[180] ['1', '22', '25'] -> 22 / (1 + 25) mod 43
[181] ['1', '22', '27'] -> 22 / (27 - 1) mod 43
[182] ['1', '22', '30'] -> 1 / (22 + 30) mod 43
[183] ['1', '22', '32'] -> (1 - 32) / 22 mod 43
[184] ['1', '22', '33'] -> 1 + (33 / 22) mod 43
[185] ['1', '22', '34'] -> (34 / 22) - 1 mod 43
[186] ['1', '22', '35'] -> (1 + 22) / 35 mod 43
[187] ['1', '22', '36'] -> 36 / (1 + 22) mod 43
[188] ['1', '22', '37'] -> (22 / 37) - 1 mod 43
[189] ['1', '22', '38'] -> 38 * (22 - 1) mod 43
[190] ['1', '22', '39'] -> 22 * (1 - 39) mod 43
[191] ['1', '23', '25'] -> (23 / 25) - 1 mod 43
[192] ['1', '23', '26'] -> (23 - 1) / 26 mod 43
[193] ['1', '23', '28'] -> 23 * (1 - 28) mod 43
[194] ['1', '23', '29'] -> 1 / (23 + 29) mod 43
[195] ['1', '23', '30'] -> 1 - (30 / 23) mod 43
[196] ['1', '23', '32'] -> 1 / (32 - 23) mod 43
[197] ['1', '23', '37'] -> (37 - 1) / 23 mod 43
[198] ['1', '23', '38'] -> 38 * (1 - 23) mod 43
[199] ['1', '23', '39'] -> 39 - (1 / 23) mod 43
[200] ['1', '24', '26'] -> (1 / 26) - 24 mod 43
[201] ['1', '25', '25'] -> 1 + (25 * 25) mod 43
[202] ['1', '25', '26'] -> 26 / (1 - 25) mod 43
[203] ['1', '25', '40'] -> (1 + 40) / 25 mod 43
[204] ['1', '26', '26'] -> 1 / (26 + 26) mod 43
[205] ['1', '26', '28'] -> (1 + 26) / 28 mod 43
[206] ['1', '26', '30'] -> 30 * (1 - 26) mod 43
[207] ['1', '26', '32'] -> (26 / 32) - 1 mod 43
[208] ['1', '27', '30'] -> (30 / 27) - 1 mod 43
[209] ['1', '27', '31'] -> 1 - (27 * 31) mod 43
