Gaussian Integer 3-Nums Unique Solutions (Formatted)
----------------------------------------
[154] ['6i', '4', '(4+4i)'] -> ((4 - (4+4i)) * 6i)
[155] ['6i', '4', '(6+6i)'] -> (((6+6i) - 6i) * 4)
[156] ['6i', '(4+i)', '(4+5i)'] -> (((4+i) - (4+5i)) * 6i)
[157] ['6i', '(4+i)', '6'] -> (((4+i) * 6) - 6i)
[158] ['6i', '1', '(1+4i)'] -> ((1 - (1+4i)) * 6i)
[159] ['6i', '(1+i)', '(1+5i)'] -> (((1+i) - (1+5i)) * 6i)
[160] ['6i', '(1+2i)', '(1+6i)'] -> (((1+2i) - (1+6i)) * 6i)
[161] ['6i', '(1+3i)', '(1+7i)'] -> (((1+3i) - (1+7i)) * 6i)
[162] ['6i', '(1+3i)', '(6+6i)'] -> ((6+6i) - ((1+3i) * 6i))
[163] ['6i', '(1+4i)', '(1+8i)'] -> (((1+4i) - (1+8i)) * 6i)
[164] ['6i', '3', '(3+4i)'] -> ((3 - (3+4i)) * 6i)
[165] ['6i', '3', '(8+2i)'] -> (((8+2i) * 3) - 6i)
[166] ['6i', '3', '(8+6i)'] -> (((8+6i) - 6i) * 3)
[167] ['6i', '(3+i)', '(3+5i)'] -> (((3+i) - (3+5i)) * 6i)
[168] ['6i', '(3+2i)', '(3+6i)'] -> (((3+2i) - (3+6i)) * 6i)
[169] ['6i', '(3+3i)', '(3+7i)'] -> (((3+3i) - (3+7i)) * 6i)
[170] ['6i', '(3+3i)', '(4+2i)'] -> (((4+2i) - 6i) * (3+3i))
[171] ['6i', '(3+3i)', '(4+4i)'] -> (((3+3i) - 6i) * (4+4i))
[172] ['6i', '(2+i)', '(2+5i)'] -> (((2+i) - (2+5i)) * 6i)
[173] ['6i', '(2+2i)', '(2+6i)'] -> (((2+2i) - (2+6i)) * 6i)
[174] ['6i', '(2+2i)', '6'] -> ((2+2i) * (6 - 6i))
[175] ['6i', '(2+3i)', '(2+7i)'] -> (((2+3i) - (2+7i)) * 6i)
[176] ['6i', '(2+4i)', '(2+8i)'] -> (((2+4i) - (2+8i)) * 6i)
[177] ['6i', '(2+4i)', '(6+6i)'] -> (((2+4i) - 6i) * (6+6i))
[178] ['6i', '(2+5i)', '(2+9i)'] -> (((2+5i) - (2+9i)) * 6i)
[179] ['6i', '(6+3i)', '(6+7i)'] -> (((6+3i) - (6+7i)) * 6i)
