[148] ['1', '3', '21', '30'] -> (3 * (1 + 21)) - 30 base 6
[149] ['1', '3', '21', '31'] -> (1 + 3) * (31 - 21) base 6
[150] ['1', '3', '21', '52'] -> 21 + ((1 + 52) / 3) base 6
[151] ['1', '3', '22', '23'] -> (3 * (22 - 1)) - 23 base 6
[152] ['1', '3', '22', '24'] -> 3 / (1 - (22 / 24)) base 6
[153] ['1', '3', '22', '52'] -> (22 * (1 + 3)) - 52 base 6
[154] ['1', '3', '23', '42'] -> 23 + ((1 + 42) / 3) base 6
[155] ['1', '3', '23', '53'] -> (23 + 53) / (3 - 1) base 6
[156] ['1', '3', '24', '30'] -> 3 / ((30 / 24) - 1) base 6
[157] ['1', '3', '24', '34'] -> (1 + 3) * (34 - 24) base 6
[158] ['1', '3', '25', '32'] -> 25 + ((1 + 32) / 3) base 6
[159] ['1', '3', '25', '35'] -> (1 + 3) * (35 - 25) base 6
[160] ['1', '3', '25', '51'] -> (25 + 51) / (3 - 1) base 6
[161] ['1', '3', '30', '32'] -> 32 / (1 - (3 / 30)) base 6
[162] ['1', '3', '30', '44'] -> 44 / (1 + (3 / 30)) base 6
[163] ['1', '3', '31', '32'] -> 31 + (32 / (1 + 3)) base 6
[164] ['1', '3', '31', '41'] -> (1 + 3) * (41 - 31) base 6
[165] ['1', '3', '31', '45'] -> (31 + 45) / (3 - 1) base 6
[166] ['1', '3', '32', '34'] -> (34 * (3 - 1)) - 32 base 6
[167] ['1', '3', '32', '42'] -> (1 + 3) * (42 - 32) base 6
[168] ['1', '3', '32', '51'] -> 51 - ((1 + 32) / 3) base 6
[169] ['1', '3', '32', '53'] -> (3 * (32 - 1)) - 53 base 6
[170] ['1', '3', '33', '33'] -> 33 * (1 + (3 / 33)) base 6
[171] ['1', '3', '34', '35'] -> (35 * (3 - 1)) - 34 base 6
[172] ['1', '3', '34', '42'] -> (34 + 42) / (3 - 1) base 6
[173] ['1', '3', '34', '44'] -> (1 + 3) * (44 - 34) base 6
[174] ['1', '3', '34', '53'] -> 34 * (1 + (3 / 53)) base 6
[175] ['1', '3', '35', '41'] -> (35 + 41) / (3 - 1) base 6
[176] ['1', '3', '35', '45'] -> (1 + 3) * (45 - 35) base 6
[177] ['1', '3', '41', '42'] -> (41 * (3 - 1)) - 42 base 6
[178] ['1', '3', '41', '51'] -> (1 + 3) * (51 - 41) base 6
[179] ['1', '3', '42', '44'] -> (42 * (3 - 1)) - 44 base 6
[180] ['1', '3', '42', '52'] -> (1 + 3) * (52 - 42) base 6
[181] ['1', '3', '43', '43'] -> 43 * (1 - (3 / 43)) base 6
[182] ['1', '3', '43', '50'] -> (43 * (3 - 1)) - 50 base 6
[183] ['1', '3', '44', '51'] -> 51 - (44 / (1 + 3)) base 6
[184] ['1', '3', '44', '54'] -> (1 + 3) * (54 - 44) base 6
[185] ['1', '3', '52', '52'] -> 52 - (52 / (1 + 3)) base 6
[186] ['1', '4', '4', '32'] -> 4 * (1 + (32 / 4)) base 6
[187] ['1', '4', '4', '44'] -> 4 * ((44 / 4) - 1) base 6
[188] ['1', '4', '5', '31'] -> (1 + (5 * 31)) / 4 base 6
[189] ['1', '4', '10', '14'] -> (14 * (4 - 1)) - 10 base 6
[190] ['1', '4', '11', '11'] -> (1 + 11) * (11 - 4) base 6
[191] ['1', '4', '11', '15'] -> (11 * (1 + 4)) - 15 base 6
[192] ['1', '4', '11', '30'] -> 30 / ((11 / 4) - 1) base 6
[193] ['1', '4', '11', '52'] -> 52 * ((11 / 4) - 1) base 6
[194] ['1', '4', '14', '32'] -> (4 * (1 + 14)) - 32 base 6
[195] ['1', '4', '14', '34'] -> 34 + (14 / (1 + 4)) base 6
