[1] ['1', '1', '1', '6'] -> (1 + 1 + 1) * 6 base 7
[4958] ['3', '6', '14', '46'] -> 6 / ((46 / 3) - 14) base 7
[4959] ['3', '6', '14', '61'] -> (14 + 61) / (6 - 3) base 7
[4960] ['3', '6', '15', '50'] -> 6 / (15 - (50 / 3)) base 7
[4961] ['3', '6', '15', '52'] -> 6 / ((52 / 3) - 15) base 7
[4962] ['3', '6', '16', '26'] -> (16 * 6) - (26 * 3) base 7
[4963] ['3', '6', '16', '33'] -> ((16 * 6) - 33) / 3 base 7
[4964] ['3', '6', '16', '44'] -> (3 * 44) - (16 * 6) base 7
[4965] ['1', '3', '36', '63'] -> (36 + 63) / (1 + 3) base 7
[4966] ['3', '6', '16', '53'] -> 6 / (16 - (53 / 3)) base 7
[4967] ['3', '6', '16', '56'] -> (16 + 56) / (6 - 3) base 7
[4968] ['3', '6', '16', '63'] -> (63 / (3 + 6)) + 16 base 7
[4969] ['3', '6', '20', '30'] -> ((3 + 30) / 6) + 20 base 7
[4970] ['3', '6', '20', '51'] -> (51 / (3 + 6)) + 20 base 7
[4971] ['3', '6', '20', '55'] -> (20 + 55) / (6 - 3) base 7
[4972] ['3', '6', '20', '61'] -> 6 / ((61 / 3) - 20) base 7
[4973] ['3', '6', '20', '65'] -> (20 / 6) + (65 / 3) base 7
[4974] ['3', '6', '21', '34'] -> 34 - ((21 + 6) / 3) base 7
[4975] ['3', '6', '21', '54'] -> (21 + 54) / (6 - 3) base 7
[4976] ['1', '3', '40', '53'] -> ((3 - 1) * 40) - 53 base 7
[4977] ['3', '6', '21', '55'] -> 6 / (3 - (55 / 21)) base 7
[4978] ['3', '6', '21', '56'] -> ((3 * 56) - 21) / 6 base 7
[4979] ['3', '6', '21', '62'] -> 6 / (21 - (62 / 3)) base 7
[4980] ['3', '6', '21', '64'] -> 6 / ((64 / 3) - 21) base 7
[4981] ['3', '6', '22', '36'] -> (6 - (22 / 3)) * 36 base 7
[4982] ['3', '6', '22', '60'] -> ((22 * 6) - 60) / 3 base 7
[4983] ['3', '6', '22', '64'] -> (22 / 6) + (64 / 3) base 7
[4984] ['3', '6', '22', '65'] -> 6 / (22 - (65 / 3)) base 7
[4985] ['3', '6', '23', '34'] -> ((34 - 23) * 3) - 6 base 7
[4986] ['3', '6', '23', '40'] -> (23 * 6) - (3 * 40) base 7
[4987] ['1', '1', '5', '64'] -> (64 / (1 + 1)) - 5 base 7
[4988] ['1', '3', '40', '55'] -> 40 - (55 / (1 + 3)) base 7
[4989] ['3', '6', '23', '55'] -> (3 * 55) - (23 * 6) base 7
[4990] ['3', '6', '25', '36'] -> ((36 - 25) * 3) - 6 base 7
[4991] ['3', '6', '25', '44'] -> (25 * 6) - (3 * 44) base 7
[4992] ['3', '6', '25', '62'] -> (3 * 62) - (25 * 6) base 7
[4993] ['3', '6', '26', '36'] -> ((26 / 3) - 6) * 36 base 7
[4994] ['3', '6', '26', '60'] -> ((6 - 3) * 26) - 60 base 7
[4995] ['3', '6', '26', '62'] -> (26 / 6) + (62 / 3) base 7
[4996] ['3', '6', '26', '64'] -> (3 * 64) - (26 * 6) base 7
[4997] ['3', '6', '30', '61'] -> ((3 * 61) - 30) / 6 base 7
[4998] ['3', '6', '31', '44'] -> (31 + 44) / (6 - 3) base 7
[4999] ['1', '3', '41', '44'] -> 41 - ((1 + 44) / 3) base 7
[5000] ['3', '6', '31', '51'] -> 31 - (51 / (3 + 6)) base 7
[5001] ['3', '6', '31', '66'] -> ((6 - 3) * 31) - 66 base 7
[5002] ['3', '6', '32', '42'] -> 42 / ((32 / 3) - 6) base 7
[5003] ['3', '6', '32', '55'] -> (32 * 6) - (3 * 55) base 7
[5004] ['3', '6', '34', '60'] -> 60 / ((34 / 3) - 6) base 7
[5005] ['3', '6', '34', '62'] -> (34 * 6) - (3 * 62) base 7
[5006] ['3', '6', '34', '65'] -> ((34 + 65) / 3) - 6 base 7
[5007] ['3', '6', '35', '63'] -> 35 - ((3 + 63) / 6) base 7
[5008] ['3', '6', '35', '66'] -> 66 / ((35 / 3) - 6) base 7
[5009] ['3', '6', '36', '50'] -> ((50 - 36) * 3) - 6 base 7
[5010] ['1', '3', '41', '55'] -> ((3 - 1) * 41) - 55 base 7
[5011] ['3', '6', '41', '52'] -> ((52 - 41) * 3) - 6 base 7
[5012] ['3', '6', '41', '61'] -> ((41 + 61) / 3) - 6 base 7
[5013] ['3', '6', '42', '44'] -> (3 + 6) * (44 - 42) base 7
[5014] ['3', '6', '42', '53'] -> ((53 - 42) * 3) - 6 base 7
[5015] ['3', '6', '42', '66'] -> (42 / 3) + (66 / 6) base 7
[5016] ['3', '6', '43', '56'] -> ((43 + 56) / 3) - 6 base 7
[5017] ['3', '6', '45', '56'] -> ((56 - 45) * 3) - 6 base 7
[5018] ['3', '6', '45', '65'] -> ((3 * 65) - 45) / 6 base 7
[5019] ['3', '6', '46', '51'] -> (3 + 6) * (51 - 46) base 7
[5020] ['3', '6', '46', '52'] -> (46 / 6) + (52 / 3) base 7
[5021] ['1', '3', '42', '66'] -> 42 - (66 / (1 + 3)) base 7
[5022] ['3', '6', '50', '53'] -> (50 / 3) + (53 / 6) base 7
[5023] ['3', '6', '50', '61'] -> ((61 - 50) * 3) - 6 base 7
[5024] ['3', '6', '50', '63'] -> 50 - ((6 + 63) / 3) base 7
[5025] ['3', '6', '51', '53'] -> (3 + 6) * (53 - 51) base 7
[5026] ['3', '6', '51', '62'] -> ((62 - 51) * 3) - 6 base 7
[5027] ['3', '6', '52', '63'] -> ((63 - 52) * 3) - 6 base 7
[5028] ['3', '6', '53', '64'] -> ((64 - 53) * 3) - 6 base 7
[5029] ['3', '6', '54', '56'] -> (3 + 6) * (56 - 54) base 7
[5030] ['3', '6', '54', '65'] -> ((65 - 54) * 3) - 6 base 7
[5031] ['3', '6', '55', '60'] -> (3 + 6) * (60 - 55) base 7
[5032] ['1', '3', '43', '56'] -> (43 + 56) / (1 + 3) base 7
[5033] ['3', '6', '56', '61'] -> (3 + 6) * (61 - 56) base 7
[5034] ['3', '6', '60', '62'] -> (3 + 6) * (62 - 60) base 7
[5035] ['3', '6', '60', '65'] -> ((60 / 6) + 65) / 3 base 7
[5036] ['3', '6', '61', '63'] -> (3 + 6) * (63 - 61) base 7
[5037] ['3', '6', '63', '65'] -> (3 + 6) * (65 - 63) base 7
[5038] ['3', '10', '10', '12'] -> (3 - (10 / 10)) * 12 base 7
[5039] ['3', '10', '10', '33'] -> ((10 + 10) * 3) - 33 base 7
[5040] ['3', '10', '10', '35'] -> ((10 + 35) / 3) + 10 base 7
[5041] ['3', '10', '10', '51'] -> 51 / (3 - (10 / 10)) base 7
[5042] ['3', '10', '10', '54'] -> ((54 / 10) - 3) * 10 base 7
[5043] ['1', '3', '43', '62'] -> ((3 - 1) * 43) - 62 base 7
[5044] ['3', '10', '10', '61'] -> ((10 * 10) - 61) * 3 base 7
[5045] ['3', '10', '11', '11'] -> (10 - (11 / 11)) * 3 base 7
[5046] ['3', '10', '11', '23'] -> ((11 - 3) * 10) - 23 base 7
[5047] ['3', '10', '11', '34'] -> ((11 + 34) / 3) + 10 base 7
[5048] ['3', '10', '11', '36'] -> ((10 + 11) * 3) - 36 base 7
[5049] ['3', '10', '11', '60'] -> (11 * 3) - (60 / 10) base 7
[5050] ['3', '10', '12', '50'] -> ((50 / 10) - 3) * 12 base 7
[5051] ['3', '10', '12', '55'] -> 55 / (3 - (10 / 12)) base 7
[5052] ['3', '10', '12', '63'] -> ((3 * 63) - 12) / 10 base 7
[5053] ['3', '10', '13', '13'] -> (10 - (13 / 13)) * 3 base 7
[5054] ['1', '3', '44', '55'] -> (44 + 55) / (1 + 3) base 7
[5055] ['3', '10', '13', '22'] -> ((10 * 13) - 22) / 3 base 7
[5056] ['3', '10', '13', '31'] -> ((10 - 3) * 13) - 31 base 7
[5057] ['3', '10', '13', '40'] -> (13 - (40 / 10)) * 3 base 7
[5058] ['3', '10', '13', '45'] -> ((10 + 13) * 3) - 45 base 7
[5059] ['3', '10', '14', '22'] -> ((14 + 3) / 10) + 22 base 7
[5060] ['3', '10', '14', '26'] -> 26 - ((14 + 3) / 10) base 7
[5061] ['3', '10', '14', '32'] -> ((10 * 14) - 32) / 3 base 7
[5062] ['3', '10', '14', '35'] -> ((10 - 3) * 14) - 35 base 7
[5063] ['3', '10', '14', '50'] -> (14 - (50 / 10)) * 3 base 7
[5064] ['3', '10', '14', '53'] -> ((14 - 3) * 10) - 53 base 7
[5065] ['1', '3', '45', '62'] -> 45 - ((1 + 62) / 3) base 7
[5066] ['3', '10', '14', '64'] -> ((3 + 64) / 10) + 14 base 7
[5067] ['3', '10', '15', '15'] -> (10 - (15 / 15)) * 3 base 7
[5068] ['3', '10', '15', '23'] -> ((23 - 10) * 3) - 15 base 7
[5069] ['3', '10', '15', '25'] -> 15 / (10 - (25 / 3)) base 7
[5070] ['3', '10', '15', '31'] -> (10 * 15) - (3 * 31) base 7
[5071] ['3', '10', '15', '32'] -> 15 / ((32 / 3) - 10) base 7
[5072] ['3', '10', '15', '40'] -> (3 - (15 / 40)) * 10 base 7
[5073] ['3', '10', '15', '53'] -> ((3 * 53) + 15) / 10 base 7
[5074] ['3', '10', '15', '60'] -> (15 - (60 / 10)) * 3 base 7
[5075] ['3', '10', '16', '16'] -> (10 - (16 / 16)) * 3 base 7
[5076] ['1', '3', '46', '53'] -> (46 + 53) / (1 + 3) base 7
[5077] ['3', '10', '16', '44'] -> ((3 + 44) / 10) + 16 base 7
[5078] ['3', '10', '16', '45'] -> ((10 * 45) + 3) / 16 base 7
[5079] ['3', '10', '16', '52'] -> ((10 * 16) - 52) / 3 base 7
[5080] ['3', '10', '16', '60'] -> ((10 + 16) * 3) - 60 base 7
[5081] ['3', '10', '20', '53'] -> ((10 - 3) * 20) - 53 base 7
[5082] ['3', '10', '20', '55'] -> (55 / (10 + 3)) + 20 base 7
[5083] ['3', '10', '20', '62'] -> ((10 * 20) - 62) / 3 base 7
[5084] ['3', '10', '20', '66'] -> (20 / 10) + (66 / 3) base 7
[5085] ['3', '10', '21', '21'] -> (10 - (21 / 21)) * 3 base 7
[5086] ['3', '10', '21', '30'] -> (3 - (21 / 10)) * 30 base 7
[5087] ['1', '3', '46', '65'] -> 46 - ((1 + 65) / 3) base 7
[5088] ['3', '10', '21', '50'] -> (3 - (21 / 50)) * 10 base 7
[5089] ['3', '10', '21', '51'] -> 51 / (10 - (21 / 3)) base 7
[5090] ['3', '10', '21', '54'] -> ((10 * 54) - 3) / 21 base 7
[5091] ['3', '10', '21', '56'] -> (3 * 56) - (10 * 21) base 7
[5092] ['3', '10', '21', '65'] -> ((3 * 65) - 21) / 10 base 7
[5093] ['3', '10', '22', '22'] -> (10 - (22 / 22)) * 3 base 7
[5094] ['3', '10', '22', '26'] -> (26 / (10 + 3)) + 22 base 7
[5095] ['3', '10', '22', '64'] -> ((10 - 3) * 22) - 64 base 7
[5096] ['3', '10', '23', '23'] -> (10 - (23 / 23)) * 3 base 7
[5097] ['3', '10', '25', '25'] -> (10 - (25 / 25)) * 3 base 7
[5098] ['1', '1', '6', '60'] -> (60 - 6) / (1 + 1) base 7
[5099] ['1', '3', '50', '52'] -> (50 + 52) / (1 + 3) base 7
[5100] ['3', '10', '25', '51'] -> 51 / ((10 * 3) - 25) base 7
[5101] ['3', '10', '30', '66'] -> 66 / (3 - (10 / 30)) base 7
[5102] ['3', '10', '31', '31'] -> (10 - (31 / 31)) * 3 base 7
[5103] ['3', '10', '31', '36'] -> ((31 - 10) * 3) - 36 base 7
[5104] ['3', '10', '31', '55'] -> 31 - (55 / (10 + 3)) base 7
[5105] ['3', '10', '32', '32'] -> (10 - (32 / 32)) * 3 base 7
[5106] ['3', '10', '32', '36'] -> ((32 / 3) - 10) * 36 base 7
[5107] ['3', '10', '32', '40'] -> 40 - ((10 + 32) / 3) base 7
[5108] ['3', '10', '32', '42'] -> ((32 - 10) * 3) - 42 base 7
[5109] ['3', '10', '32', '44'] -> 32 - ((3 + 44) / 10) base 7
[5110] ['1', '3', '55', '66'] -> 3 / (1 - (55 / 66)) base 7
[5111] ['3', '10', '33', '46'] -> ((3 * 46) + 33) / 10 base 7
[5112] ['3', '10', '33', '60'] -> ((33 / 10) - 3) * 60 base 7
[5113] ['3', '10', '33', '66'] -> (33 + 66) / (10 - 3) base 7
[5114] ['3', '10', '34', '34'] -> (10 - (34 / 34)) * 3 base 7
[5115] ['3', '10', '34', '64'] -> 34 - ((3 + 64) / 10) base 7
[5116] ['3', '10', '35', '35'] -> (10 - (35 / 35)) * 3 base 7
[5117] ['3', '10', '35', '42'] -> 42 / ((35 / 3) - 10) base 7
[5118] ['3', '10', '35', '64'] -> (35 + 64) / (10 - 3) base 7
[5119] ['3', '10', '36', '36'] -> (10 - (36 / 36)) * 3 base 7
[5120] ['3', '10', '36', '45'] -> ((3 * 45) + 36) / 10 base 7
[5121] ['1', '4', '4', '20'] -> ((20 / 4) + 1) * 4 base 7
[5122] ['3', '10', '40', '40'] -> (10 - (40 / 40)) * 3 base 7
[5123] ['3', '10', '40', '62'] -> (40 + 62) / (10 - 3) base 7
[5124] ['3', '10', '40', '63'] -> ((40 - 10) * 3) - 63 base 7
[5125] ['3', '10', '40', '65'] -> ((40 + 65) / 3) - 10 base 7
[5126] ['3', '10', '41', '41'] -> (10 - (41 / 41)) * 3 base 7
[5127] ['3', '10', '41', '54'] -> ((3 * 41) + 54) / 10 base 7
[5128] ['3', '10', '41', '64'] -> ((41 + 64) / 3) - 10 base 7
[5129] ['3', '10', '42', '42'] -> (10 - (42 / 42)) * 3 base 7
[5130] ['3', '10', '42', '44'] -> ((3 * 44) + 42) / 10 base 7
[5131] ['3', '10', '42', '51'] -> ((3 * 42) + 51) / 10 base 7
[5132] ['1', '4', '4', '31'] -> ((31 / 4) - 1) * 4 base 7
[5133] ['3', '10', '42', '60'] -> (42 + 60) / (10 - 3) base 7
[5134] ['3', '10', '42', '63'] -> ((42 + 63) / 3) - 10 base 7
[5135] ['3', '10', '43', '43'] -> (10 - (43 / 43)) * 3 base 7
[5136] ['3', '10', '43', '45'] -> ((3 * 43) + 45) / 10 base 7
[5137] ['3', '10', '43', '56'] -> (43 + 56) / (10 - 3) base 7
[5138] ['3', '10', '44', '44'] -> (10 - (44 / 44)) * 3 base 7
[5139] ['3', '10', '44', '61'] -> ((44 + 61) / 3) - 10 base 7
[5140] ['3', '10', '45', '45'] -> (10 - (45 / 45)) * 3 base 7
[5141] ['3', '10', '45', '53'] -> 45 - ((10 + 53) / 3) base 7
[5142] ['3', '10', '45', '54'] -> (45 + 54) / (10 - 3) base 7
[5143] ['1', '4', '4', '51'] -> 51 / ((4 / 4) + 1) base 7
[5144] ['3', '10', '45', '60'] -> ((45 + 60) / 3) - 10 base 7
[5145] ['3', '10', '46', '46'] -> (10 - (46 / 46)) * 3 base 7
[5146] ['3', '10', '46', '53'] -> (46 + 53) / (10 - 3) base 7
[5147] ['3', '10', '50', '50'] -> (10 - (50 / 50)) * 3 base 7
[5148] ['3', '10', '50', '52'] -> (50 + 52) / (10 - 3) base 7
[5149] ['3', '10', '50', '54'] -> (50 / 10) + (54 / 3) base 7
[5150] ['3', '10', '50', '55'] -> ((50 + 55) / 3) - 10 base 7
[5151] ['3', '10', '50', '62'] -> 50 - ((10 + 62) / 3) base 7
[5152] ['3', '10', '51', '65'] -> 51 - ((10 + 65) / 3) base 7
[5153] ['3', '10', '52', '52'] -> (10 - (52 / 52)) * 3 base 7
[5154] ['1', '4', '4', '53'] -> 53 - ((1 + 4) * 4) base 7
[5155] ['3', '10', '53', '53'] -> (10 - (53 / 53)) * 3 base 7
[5156] ['3', '10', '54', '54'] -> (10 - (54 / 54)) * 3 base 7
[5157] ['3', '10', '55', '55'] -> (10 - (55 / 55)) * 3 base 7
[5158] ['3', '10', '56', '56'] -> (10 - (56 / 56)) * 3 base 7
[5159] ['3', '10', '60', '60'] -> (10 - (60 / 60)) * 3 base 7
[5160] ['3', '10', '60', '66'] -> ((60 / 10) + 66) / 3 base 7
[5161] ['3', '10', '61', '61'] -> (10 - (61 / 61)) * 3 base 7
[5162] ['3', '10', '62', '62'] -> (10 - (62 / 62)) * 3 base 7
[5163] ['3', '10', '63', '63'] -> (10 - (63 / 63)) * 3 base 7
[5164] ['3', '10', '64', '64'] -> (10 - (64 / 64)) * 3 base 7
[5165] ['1', '4', '5', '60'] -> 60 - ((1 + 5) * 4) base 7
[5166] ['3', '10', '65', '65'] -> (10 - (65 / 65)) * 3 base 7
[5167] ['3', '10', '66', '66'] -> (10 - (66 / 66)) * 3 base 7
[5168] ['3', '11', '11', '12'] -> (3 - (11 / 11)) * 12 base 7
[5169] ['3', '11', '11', '42'] -> ((11 + 11) * 3) - 42 base 7
[5170] ['3', '11', '11', '51'] -> 51 / (3 - (11 / 11)) base 7
[5171] ['3', '11', '11', '60'] -> ((60 / 11) - 3) * 11 base 7
[5172] ['3', '11', '11', '66'] -> (11 * 3) - (66 / 11) base 7
[5173] ['3', '11', '12', '35'] -> (35 - (11 * 3)) * 12 base 7
[5174] ['3', '11', '12', '40'] -> 12 / ((40 / 11) - 3) base 7
[5175] ['3', '11', '12', '43'] -> 11 / ((43 / 12) - 3) base 7
[5176] ['1', '4', '5', '61'] -> 61 - ((1 + 4) * 5) base 7
[5177] ['3', '11', '12', '55'] -> ((55 / 11) - 3) * 12 base 7
[5178] ['3', '11', '13', '35'] -> ((11 * 13) - 35) / 3 base 7
[5179] ['3', '11', '13', '60'] -> (60 / (13 - 11)) - 3 base 7
[5180] ['3', '11', '14', '31'] -> (11 - (31 / 14)) * 3 base 7
[5181] ['3', '11', '14', '54'] -> ((11 + 14) * 3) - 54 base 7
[5182] ['3', '11', '14', '64'] -> ((14 - 3) * 11) - 64 base 7
[5183] ['3', '11', '15', '15'] -> (3 - (15 / 11)) * 15 base 7
[5184] ['3', '11', '15', '36'] -> 36 / (3 - (15 / 11)) base 7
[5185] ['3', '11', '15', '53'] -> (3 * 53) - (11 * 15) base 7
[5186] ['3', '11', '15', '62'] -> ((3 * 62) + 15) / 11 base 7
[5187] ['1', '4', '6', '42'] -> 42 / ((4 / 6) + 1) base 7
[5188] ['3', '11', '15', '63'] -> ((3 + 63) / 11) + 15 base 7
[5189] ['3', '11', '15', '66'] -> (15 - (66 / 11)) * 3 base 7
[5190] ['3', '11', '16', '23'] -> ((16 + 23) / 3) + 11 base 7
[5191] ['3', '11', '16', '52'] -> ((3 + 52) / 11) + 16 base 7
[5192] ['3', '11', '16', '63'] -> ((11 + 16) * 3) - 63 base 7
[5193] ['3', '11', '16', '65'] -> ((11 - 3) * 16) - 65 base 7
[5194] ['3', '11', '20', '41'] -> ((3 + 41) / 11) + 20 base 7
[5195] ['3', '11', '21', '22'] -> (3 - (21 / 11)) * 22 base 7
[5196] ['3', '11', '21', '42'] -> (11 - (42 / 21)) * 3 base 7
[5197] ['3', '11', '21', '46'] -> (11 * 21) - (3 * 46) base 7
[5198] ['1', '4', '6', '45'] -> ((45 / 6) - 1) * 4 base 7
[5199] ['3', '11', '21', '61'] -> ((3 * 61) + 21) / 11 base 7
[5200] ['3', '11', '21', '64'] -> (3 * 64) - (11 * 21) base 7
[5201] ['3', '11', '23', '46'] -> (11 - (46 / 23)) * 3 base 7
[5202] ['3', '11', '23', '60'] -> 60 / (11 - (23 / 3)) base 7
[5203] ['3', '11', '25', '42'] -> 42 / (11 - (25 / 3)) base 7
[5204] ['3', '11', '25', '53'] -> (11 - (53 / 25)) * 3 base 7
[5205] ['3', '11', '26', '33'] -> 33 / (11 - (26 / 3)) base 7
[5206] ['3', '11', '26', '51'] -> (3 - (26 / 11)) * 51 base 7
[5207] ['3', '11', '30', '60'] -> (11 - (60 / 30)) * 3 base 7
[5208] ['3', '11', '31', '36'] -> (11 - (31 / 3)) * 36 base 7
[5209] ['1', '1', '6', '66'] -> (66 / (1 + 1)) - 6 base 7
[5210] ['1', '4', '6', '50'] -> (1 + 50) / (6 - 4) base 7
[5211] ['3', '11', '32', '36'] -> ((32 - 11) * 3) - 36 base 7
[5212] ['3', '11', '33', '40'] -> 33 / ((40 / 3) - 11) base 7
[5213] ['3', '11', '33', '55'] -> ((3 * 55) + 33) / 11 base 7
[5214] ['3', '11', '34', '45'] -> ((34 - 11) * 3) - 45 base 7
[5215] ['3', '11', '35', '36'] -> ((35 / 3) - 11) * 36 base 7
[5216] ['3', '11', '40', '51'] -> ((40 / 11) - 3) * 51 base 7
[5217] ['3', '11', '41', '42'] -> 42 / ((41 / 3) - 11) base 7
[5218] ['3', '11', '41', '63'] -> ((41 - 11) * 3) - 63 base 7
[5219] ['3', '11', '42', '53'] -> ((3 * 53) + 42) / 11 base 7
[5220] ['3', '11', '43', '60'] -> 60 / ((43 / 3) - 11) base 7
[5221] ['1', '4', '6', '63'] -> 63 / ((6 / 4) + 1) base 7
[5222] ['3', '11', '44', '60'] -> (44 / 11) + (60 / 3) base 7
[5223] ['3', '11', '46', '60'] -> ((3 * 46) + 60) / 11 base 7
[5224] ['3', '11', '46', '62'] -> ((46 + 62) / 3) - 11 base 7
[5225] ['3', '11', '50', '54'] -> ((3 * 50) + 54) / 11 base 7
[5226] ['3', '11', '51', '51'] -> ((3 * 51) + 51) / 11 base 7
[5227] ['3', '11', '51', '55'] -> 51 / ((55 / 11) - 3) base 7
[5228] ['3', '11', '51', '64'] -> 51 - ((11 + 64) / 3) base 7
[5229] ['3', '11', '52', '56'] -> ((52 + 56) / 3) - 11 base 7
[5230] ['3', '11', '54', '55'] -> (54 / 3) + (55 / 11) base 7
[5231] ['3', '11', '61', '65'] -> (61 + 65) / (11 - 3) base 7
[5232] ['1', '4', '6', '64'] -> 64 - ((1 + 6) * 4) base 7
[5233] ['3', '11', '62', '63'] -> 63 / ((62 / 11) - 3) base 7
[5234] ['3', '11', '63', '63'] -> (63 + 63) / (11 - 3) base 7
[5235] ['3', '11', '66', '66'] -> ((66 / 11) + 66) / 3 base 7
[5236] ['3', '12', '12', '34'] -> ((12 * 3) - 34) * 12 base 7
[5237] ['3', '12', '12', '41'] -> (41 - (12 * 3)) * 12 base 7
[5238] ['3', '12', '13', '13'] -> (3 - (13 / 13)) * 12 base 7
[5239] ['3', '12', '13', '40'] -> ((13 * 3) - 40) * 12 base 7
[5240] ['3', '12', '13', '60'] -> ((12 - 3) * 13) - 60 base 7
[5241] ['3', '12', '14', '14'] -> (3 - (14 / 14)) * 12 base 7
[5242] ['3', '12', '14', '43'] -> ((14 * 3) - 43) * 12 base 7
[5243] ['1', '4', '6', '65'] -> ((1 + 65) / 4) + 6 base 7
[5244] ['3', '12', '15', '41'] -> 15 / ((41 / 3) - 12) base 7
[5245] ['3', '12', '15', '46'] -> ((15 * 3) - 46) * 12 base 7
[5246] ['3', '12', '15', '53'] -> (53 - (15 * 3)) * 12 base 7
[5247] ['3', '12', '16', '16'] -> (3 - (16 / 16)) * 12 base 7
[5248] ['3', '12', '20', '20'] -> (3 - (20 / 20)) * 12 base 7
[5249] ['3', '12', '21', '35'] -> 35 - ((12 + 21) / 3) base 7
[5250] ['3', '12', '21', '61'] -> ((21 * 3) - 61) * 12 base 7
[5251] ['3', '12', '21', '65'] -> (65 - (21 * 3)) * 12 base 7
[5252] ['3', '12', '22', '22'] -> (3 - (22 / 22)) * 12 base 7
[5253] ['3', '12', '23', '23'] -> (3 - (23 / 23)) * 12 base 7
[5254] ['1', '4', '10', '23'] -> ((1 + 4) * 10) - 23 base 7
[5255] ['3', '12', '25', '25'] -> (3 - (25 / 25)) * 12 base 7
[5256] ['3', '12', '26', '26'] -> (3 - (26 / 26)) * 12 base 7
[5257] ['3', '12', '26', '33'] -> 26 - (33 / (12 + 3)) base 7
[5258] ['3', '12', '30', '30'] -> (3 - (30 / 30)) * 12 base 7
[5259] ['3', '12', '30', '40'] -> 40 - ((12 + 30) / 3) base 7
[5260] ['3', '12', '31', '31'] -> (3 - (31 / 31)) * 12 base 7
[5261] ['3', '12', '31', '42'] -> 42 / (12 - (31 / 3)) base 7
[5262] ['3', '12', '32', '32'] -> (3 - (32 / 32)) * 12 base 7
[5263] ['3', '12', '33', '33'] -> (3 - (33 / 33)) * 12 base 7
[5264] ['3', '12', '33', '43'] -> 33 / ((43 / 3) - 12) base 7
[5265] ['1', '4', '10', '33'] -> ((10 / 4) - 1) * 33 base 7
[5266] ['3', '12', '34', '34'] -> (3 - (34 / 34)) * 12 base 7
[5267] ['3', '12', '34', '36'] -> (12 - (34 / 3)) * 36 base 7
[5268] ['3', '12', '35', '35'] -> (3 - (35 / 35)) * 12 base 7
[5269] ['3', '12', '35', '55'] -> 35 / ((55 / 12) - 3) base 7
[5270] ['3', '12', '36', '41'] -> ((41 / 3) - 12) * 36 base 7
[5271] ['3', '12', '40', '40'] -> (3 - (40 / 40)) * 12 base 7
[5272] ['3', '12', '40', '56'] -> 40 / ((56 / 12) - 3) base 7
[5273] ['3', '12', '41', '41'] -> (3 - (41 / 41)) * 12 base 7
[5274] ['3', '12', '41', '51'] -> 51 / (41 - (12 * 3)) base 7
[5275] ['3', '12', '42', '42'] -> (3 - (42 / 42)) * 12 base 7
[5276] ['1', '4', '10', '61'] -> ((1 + 61) / 4) + 10 base 7
[5277] ['3', '12', '42', '44'] -> 42 / ((44 / 3) - 12) base 7
[5278] ['3', '12', '43', '43'] -> (3 - (43 / 43)) * 12 base 7
[5279] ['3', '12', '44', '44'] -> (3 - (44 / 44)) * 12 base 7
[5280] ['3', '12', '44', '61'] -> 44 / ((61 / 12) - 3) base 7
[5281] ['3', '12', '45', '45'] -> (3 - (45 / 45)) * 12 base 7
[5282] ['3', '12', '46', '46'] -> (3 - (46 / 46)) * 12 base 7
[5283] ['3', '12', '46', '60'] -> 60 / ((46 / 3) - 12) base 7
[5284] ['3', '12', '46', '62'] -> 46 / ((62 / 12) - 3) base 7
[5285] ['3', '12', '46', '65'] -> ((46 + 65) / 3) - 12 base 7
[5286] ['3', '12', '50', '50'] -> (3 - (50 / 50)) * 12 base 7
[5287] ['1', '4', '11', '15'] -> ((4 / 11) + 1) * 15 base 7
[5288] ['3', '12', '50', '60'] -> 50 - ((12 + 60) / 3) base 7
[5289] ['3', '12', '50', '64'] -> ((50 + 64) / 3) - 12 base 7
[5290] ['3', '12', '50', '66'] -> 66 / ((50 / 3) - 12) base 7
[5291] ['3', '12', '51', '51'] -> (3 - (51 / 51)) * 12 base 7
[5292] ['3', '12', '52', '52'] -> (3 - (52 / 52)) * 12 base 7
[5293] ['3', '12', '52', '62'] -> ((52 + 62) / 3) - 12 base 7
[5294] ['3', '12', '52', '66'] -> 52 - ((12 + 66) / 3) base 7
[5295] ['3', '12', '53', '53'] -> (3 - (53 / 53)) * 12 base 7
[5296] ['3', '12', '53', '64'] -> 53 / ((64 / 12) - 3) base 7
[5297] ['3', '12', '54', '54'] -> (3 - (54 / 54)) * 12 base 7
[5298] ['1', '4', '11', '36'] -> 36 / ((4 / 11) + 1) base 7
[5299] ['3', '12', '55', '55'] -> (3 - (55 / 55)) * 12 base 7
[5300] ['3', '12', '55', '65'] -> 55 / ((65 / 12) - 3) base 7
[5301] ['3', '12', '56', '56'] -> (3 - (56 / 56)) * 12 base 7
[5302] ['3', '12', '60', '60'] -> (3 - (60 / 60)) * 12 base 7
[5303] ['3', '12', '61', '61'] -> (3 - (61 / 61)) * 12 base 7
[5304] ['3', '12', '62', '62'] -> (3 - (62 / 62)) * 12 base 7
[5305] ['3', '12', '63', '63'] -> (3 - (63 / 63)) * 12 base 7
[5306] ['3', '12', '64', '64'] -> (3 - (64 / 64)) * 12 base 7
[5307] ['3', '12', '65', '65'] -> (3 - (65 / 65)) * 12 base 7
