[1] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) base 12
[117] ['13', '16', '31', '3B'] -> (31 + 3B) / (16 - 13) base 12
[118] ['13', '16', '32', '3A'] -> (32 + 3A) / (16 - 13) base 12
[119] ['13', '16', '33', '39'] -> (33 + 39) / (16 - 13) base 12
[120] ['13', '16', '34', '38'] -> (34 + 38) / (16 - 13) base 12
[121] ['13', '16', '35', '37'] -> (35 + 37) / (16 - 13) base 12
[122] ['13', '17', '17', '40'] -> ((17 - 13) * 17) - 40 base 12
[123] ['13', '17', '19', '19'] -> ((17 * 19) + 19) / 13 base 12
[124] ['13', '17', '1A', '22'] -> (17 * 1A) - (13 * 22) base 12
[125] ['13', '17', '1A', '2A'] -> ((13 * 2A) + 1A) / 17 base 12
[126] ['1', '18', '40', '40'] -> (1 - (18 / 40)) * 40 base 12
[127] ['13', '17', '1B', '22'] -> ((13 + 1B) / 17) + 22 base 12
[128] ['13', '17', '1B', '27'] -> (13 * 27) - (17 * 1B) base 12
[129] ['13', '17', '1B', '28'] -> ((1B - 17) * 13) - 28 base 12
[130] ['13', '17', '1B', '31'] -> ((13 * 31) - 1B) / 17 base 12
[131] ['13', '17', '20', '30'] -> ((17 * 20) - 30) / 13 base 12
[132] ['13', '17', '20', '35'] -> ((17 + 35) / 13) + 20 base 12
[133] ['13', '17', '20', '3B'] -> ((20 - 17) * 13) - 3B base 12
[134] ['13', '17', '21', '22'] -> ((17 + 22) / 13) + 21 base 12
[135] ['13', '17', '21', '36'] -> ((13 + 36) / 17) + 21 base 12
[136] ['13', '17', '22', '27'] -> 27 - ((17 + 22) / 13) base 12
[137] ['1', '19', '19', '41'] -> ((41 / 19) - 1) * 19 base 12
[138] ['13', '17', '23', '33'] -> ((17 * 33) + 13) / 23 base 12
[139] ['13', '17', '27', '36'] -> 27 - ((13 + 36) / 17) base 12
[140] ['13', '17', '28', '35'] -> 28 - ((17 + 35) / 13) base 12
[141] ['13', '17', '29', '31'] -> ((13 * 29) + 31) / 17 base 12
[142] ['13', '17', '31', '39'] -> (17 * 31) - (13 * 39) base 12
[143] ['13', '17', '32', '32'] -> ((13 * 32) - 32) / 17 base 12
[144] ['13', '18', '18', '18'] -> ((18 * 18) + 18) / 13 base 12
[145] ['13', '18', '18', '1A'] -> ((18 * 1A) - 18) / 13 base 12
[146] ['13', '18', '20', '28'] -> ((20 - 18) * 13) - 28 base 12
[147] ['13', '18', '20', '34'] -> ((18 + 34) / 13) + 20 base 12
[148] ['1', '19', '20', '33'] -> 20 / ((33 / 19) - 1) base 12
[149] ['13', '18', '21', '33'] -> ((13 * 33) - 21) / 18 base 12
[150] ['13', '18', '21', '39'] -> ((13 + 39) / 18) + 21 base 12
[151] ['13', '18', '21', '3B'] -> ((21 - 18) * 13) - 3B base 12
[152] ['13', '18', '27', '39'] -> 27 - ((13 + 39) / 18) base 12
[153] ['13', '18', '34', '34'] -> ((13 * 34) - 34) / 18 base 12
[154] ['13', '19', '19', '19'] -> ((19 * 19) - 19) / 13 base 12
[155] ['13', '19', '20', '21'] -> ((19 + 20) / 13) + 21 base 12
[156] ['13', '19', '20', '27'] -> 27 - ((19 + 20) / 13) base 12
[157] ['13', '19', '21', '28'] -> ((21 - 19) * 13) - 28 base 12
[158] ['13', '19', '21', '40'] -> ((13 + 40) / 19) + 21 base 12
[159] ['1', '19', '20', '36'] -> 19 / ((36 / 20) - 1) base 12
[160] ['13', '19', '22', '23'] -> ((13 + 23) / 19) + 22 base 12
[161] ['13', '19', '22', '3B'] -> ((22 - 19) * 13) - 3B base 12
[162] ['13', '19', '23', '26'] -> 26 - ((13 + 23) / 19) base 12
[163] ['13', '19', '23', '35'] -> ((13 * 35) - 23) / 19 base 12
[164] ['13', '19', '27', '40'] -> 27 - ((13 + 40) / 19) base 12
[165] ['13', '19', '29', '31'] -> ((13 * 31) + 29) / 19 base 12
[166] ['13', '19', '36', '36'] -> ((13 * 36) - 36) / 19 base 12
[167] ['13', '1A', '1B', '27'] -> 27 - ((1A + 1B) / 13) base 12
[168] ['13', '1A', '20', '32'] -> ((1A + 32) / 13) + 20 base 12
[169] ['13', '1A', '22', '25'] -> ((13 + 25) / 1A) + 22 base 12
[170] ['1', '19', '22', '35'] -> ((1 + 35) / 19) + 22 base 12
[171] ['13', '1A', '22', '28'] -> ((22 - 1A) * 13) - 28 base 12
[172] ['13', '1A', '22', '34'] -> (13 * 34) - (1A * 22) base 12
[173] ['13', '1A', '23', '3B'] -> ((23 - 1A) * 13) - 3B base 12
[174] ['13', '1A', '25', '26'] -> 26 - ((13 + 25) / 1A) base 12
[175] ['13', '1A', '25', '37'] -> ((13 * 37) - 25) / 1A base 12
[176] ['13', '1A', '27', '33'] -> ((13 * 33) + 27) / 1A base 12
[177] ['13', '1A', '28', '32'] -> 28 - ((1A + 32) / 13) base 12
[178] ['13', '1A', '2A', '40'] -> (1A * 2A) - (13 * 40) base 12
[179] ['13', '1A', '32', '3A'] -> ((13 * 32) + 3A) / 1A base 12
[180] ['13', '1A', '35', '41'] -> ((35 + 41) / 13) + 1A base 12
[181] ['1', '19', '22', '38'] -> (38 / (1 + 19)) + 22 base 12
[182] ['13', '1A', '38', '38'] -> ((13 * 38) - 38) / 1A base 12
[183] ['13', '1A', '38', '3A'] -> ((38 + 3A) / 13) + 1A base 12
[184] ['13', '1A', '39', '39'] -> ((39 + 39) / 13) + 1A base 12
[185] ['13', '1B', '20', '31'] -> ((1B + 31) / 13) + 20 base 12
[186] ['13', '1B', '22', '32'] -> (1B * 22) - (13 * 32) base 12
[187] ['13', '1B', '22', '3B'] -> ((13 * 3B) + 1B) / 22 base 12
[188] ['13', '1B', '22', '41'] -> ((22 + 41) / 13) + 1B base 12
[189] ['13', '1B', '23', '28'] -> ((23 - 1B) * 13) - 28 base 12
[190] ['13', '1B', '23', '40'] -> ((23 + 40) / 13) + 1B base 12
[191] ['13', '1B', '25', '35'] -> ((13 * 35) + 25) / 1B base 12
[192] ['1', '19', '26', '38'] -> 26 - (38 / (1 + 19)) base 12
[193] ['13', '1B', '26', '27'] -> 26 - ((13 + 27) / 1B) base 12
[194] ['13', '1B', '26', '39'] -> ((26 + 39) / 13) + 1B base 12
[195] ['13', '1B', '27', '38'] -> ((27 + 38) / 13) + 1B base 12
[196] ['13', '1B', '27', '39'] -> ((13 * 39) - 27) / 1B base 12
[197] ['13', '1B', '28', '31'] -> 28 - ((1B + 31) / 13) base 12
[198] ['13', '1B', '28', '37'] -> ((28 + 37) / 13) + 1B base 12
[199] ['13', '1B', '2A', '35'] -> ((2A + 35) / 13) + 1B base 12
[200] ['13', '1B', '2B', '34'] -> ((2B + 34) / 13) + 1B base 12
[201] ['13', '1B', '31', '32'] -> ((31 + 32) / 13) + 1B base 12
[202] ['13', '1B', '34', '38'] -> ((13 * 34) + 38) / 1B base 12
[203] ['1', '19', '28', '39'] -> 28 / ((39 / 19) - 1) base 12
[204] ['13', '1B', '3A', '3A'] -> ((13 * 3A) - 3A) / 1B base 12
[205] ['13', '20', '21', '2B'] -> ((21 + 2B) / 13) + 20 base 12
[206] ['13', '20', '22', '29'] -> ((13 + 29) / 20) + 22 base 12
[207] ['13', '20', '22', '2A'] -> ((22 + 2A) / 13) + 20 base 12
[208] ['13', '20', '23', '37'] -> ((13 * 37) + 23) / 20 base 12
[209] ['13', '20', '25', '3B'] -> ((25 - 20) * 13) - 3B base 12
[210] ['13', '20', '26', '26'] -> ((26 + 26) / 13) + 20 base 12
[211] ['13', '20', '26', '29'] -> 26 - ((13 + 29) / 20) base 12
[212] ['13', '20', '29', '3B'] -> ((13 * 3B) - 29) / 20 base 12
[213] ['13', '20', '36', '36'] -> ((13 * 36) + 36) / 20 base 12
[214] ['1', '19', '29', '41'] -> ((29 / 19) - 1) * 41 base 12
[215] ['13', '20', '40', '40'] -> ((13 * 40) - 40) / 20 base 12
[216] ['13', '21', '21', '39'] -> ((13 * 39) + 21) / 21 base 12
[217] ['13', '21', '22', '2B'] -> ((13 + 2B) / 21) + 22 base 12
[218] ['13', '21', '25', '28'] -> ((25 - 21) * 13) - 28 base 12
[219] ['13', '21', '26', '29'] -> ((21 * 29) + 13) / 26 base 12
[220] ['13', '21', '26', '3B'] -> ((26 - 21) * 13) - 3B base 12
[221] ['13', '21', '34', '38'] -> ((13 * 38) + 34) / 21 base 12
[222] ['13', '22', '22', '31'] -> ((13 + 31) / 22) + 22 base 12
[223] ['13', '22', '25', '37'] -> ((13 + 37) / 25) + 22 base 12
[224] ['13', '22', '26', '31'] -> 26 - ((13 + 31) / 22) base 12
[225] ['1', '1', '20', '34'] -> 34 - (20 / (1 + 1)) base 12
[226] ['1', '19', '34', '41'] -> 34 / ((19 / 41) + 1) base 12
[227] ['13', '22', '26', '39'] -> ((13 + 39) / 26) + 22 base 12
[228] ['13', '22', '29', '41'] -> 29 - ((22 + 41) / 13) base 12
[229] ['13', '23', '28', '29'] -> 28 - ((23 + 29) / 13) base 12
[230] ['13', '23', '33', '35'] -> ((23 * 35) - 13) / 33 base 12
[231] ['13', '23', '36', '37'] -> ((23 * 37) + 13) / 36 base 12
[232] ['13', '25', '27', '28'] -> 28 - ((25 + 27) / 13) base 12
[233] ['13', '25', '29', '3A'] -> 29 - ((25 + 3A) / 13) base 12
[234] ['13', '25', '2A', '3B'] -> ((2A - 25) * 13) - 3B base 12
[235] ['13', '25', '37', '38'] -> ((25 * 37) - 13) / 38 base 12
[236] ['13', '26', '26', '39'] -> 26 - ((13 + 39) / 26) base 12
[237] ['1', '19', '36', '36'] -> 36 / ((19 / 36) + 1) base 12
[238] ['13', '26', '27', '3B'] -> 26 - ((13 + 3B) / 27) base 12
[239] ['13', '26', '29', '39'] -> 29 - ((26 + 39) / 13) base 12
[240] ['13', '26', '2B', '3B'] -> ((2B - 26) * 13) - 3B base 12
[241] ['13', '27', '28', '2B'] -> ((2B - 27) * 13) - 28 base 12
[242] ['13', '27', '29', '30'] -> ((27 * 29) - 13) / 30 base 12
[243] ['13', '27', '29', '38'] -> 29 - ((27 + 38) / 13) base 12
[244] ['13', '27', '30', '3B'] -> ((30 - 27) * 13) - 3B base 12
[245] ['13', '28', '28', '30'] -> ((30 - 28) * 13) - 28 base 12
[246] ['13', '28', '29', '31'] -> ((31 - 29) * 13) - 28 base 12
[247] ['13', '28', '2A', '32'] -> ((32 - 2A) * 13) - 28 base 12
[248] ['1', '19', '41', '41'] -> (1 - (19 / 41)) * 41 base 12
[249] ['13', '28', '30', '34'] -> ((34 - 30) * 13) - 28 base 12
[250] ['13', '28', '31', '35'] -> ((35 - 31) * 13) - 28 base 12
[251] ['13', '28', '31', '3B'] -> ((31 - 28) * 13) - 3B base 12
[252] ['13', '28', '32', '36'] -> ((36 - 32) * 13) - 28 base 12
[253] ['13', '28', '33', '37'] -> ((37 - 33) * 13) - 28 base 12
[254] ['13', '28', '34', '38'] -> ((38 - 34) * 13) - 28 base 12
[255] ['13', '28', '35', '39'] -> ((39 - 35) * 13) - 28 base 12
[256] ['13', '28', '36', '3A'] -> ((3A - 36) * 13) - 28 base 12
[257] ['13', '28', '37', '3B'] -> ((3B - 37) * 13) - 28 base 12
[258] ['13', '28', '38', '40'] -> ((40 - 38) * 13) - 28 base 12
[259] ['1', '1A', '22', '37'] -> ((1 + 37) / 1A) + 22 base 12
[260] ['13', '28', '39', '41'] -> ((41 - 39) * 13) - 28 base 12
[261] ['13', '29', '2A', '35'] -> 29 - ((2A + 35) / 13) base 12
[262] ['13', '29', '2B', '34'] -> 29 - ((2B + 34) / 13) base 12
[263] ['13', '29', '31', '32'] -> 29 - ((31 + 32) / 13) base 12
[264] ['13', '29', '32', '3B'] -> ((32 - 29) * 13) - 3B base 12
[265] ['13', '2A', '33', '3B'] -> ((33 - 2A) * 13) - 3B base 12
[266] ['13', '2A', '35', '41'] -> 2A - ((35 + 41) / 13) base 12
[267] ['13', '2A', '36', '40'] -> 2A - ((36 + 40) / 13) base 12
[268] ['13', '2A', '37', '3B'] -> 2A - ((37 + 3B) / 13) base 12
[269] ['13', '2A', '38', '3A'] -> 2A - ((38 + 3A) / 13) base 12
[270] ['1', '1A', '22', '3A'] -> (3A / (1 + 1A)) + 22 base 12
[271] ['13', '2A', '39', '39'] -> 2A - ((39 + 39) / 13) base 12
[272] ['13', '30', '35', '3B'] -> ((35 - 30) * 13) - 3B base 12
[273] ['13', '32', '37', '3B'] -> ((37 - 32) * 13) - 3B base 12
[274] ['13', '34', '39', '3B'] -> ((39 - 34) * 13) - 3B base 12
[275] ['13', '35', '3A', '3B'] -> ((3A - 35) * 13) - 3B base 12
[276] ['13', '38', '3B', '41'] -> ((41 - 38) * 13) - 3B base 12
[277] ['14', '14', '14', '22'] -> ((14 + 14) / 14) + 22 base 12
[278] ['14', '14', '14', '23'] -> ((14 * 23) + 14) / 14 base 12
[279] ['14', '14', '14', '25'] -> ((14 * 25) - 14) / 14 base 12
[280] ['14', '14', '14', '26'] -> 26 - ((14 + 14) / 14) base 12
[281] ['1', '1A', '26', '37'] -> 26 - ((1 + 37) / 1A) base 12
[282] ['14', '14', '16', '34'] -> (14 + 34) / (16 - 14) base 12
[283] ['14', '14', '18', '2A'] -> ((14 * 2A) + 14) / 18 base 12
[284] ['14', '14', '20', '35'] -> ((14 * 35) + 14) / 20 base 12
[285] ['14', '14', '20', '37'] -> ((14 * 37) - 14) / 20 base 12
[286] ['14', '14', '20', '40'] -> ((14 + 40) / 14) + 20 base 12
[287] ['14', '14', '21', '28'] -> ((14 + 28) / 14) + 21 base 12
[288] ['14', '14', '21', '40'] -> ((14 * 21) + 40) / 14 base 12
[289] ['14', '14', '22', '28'] -> ((14 * 22) + 28) / 14 base 12
[290] ['14', '14', '27', '28'] -> 27 - ((14 + 28) / 14) base 12
[291] ['14', '14', '27', '40'] -> ((14 * 27) - 40) / 14 base 12
[292] ['1', '1A', '26', '3A'] -> 26 - (3A / (1 + 1A)) base 12
[293] ['14', '14', '28', '40'] -> 28 - ((14 + 40) / 14) base 12
[294] ['14', '15', '16', '22'] -> ((14 + 16) / 15) + 22 base 12
[295] ['14', '15', '16', '26'] -> 26 - ((14 + 16) / 15) base 12
[296] ['14', '15', '16', '33'] -> (15 + 33) / (16 - 14) base 12
[297] ['14', '15', '17', '1A'] -> ((17 - 15) * 1A) - 14 base 12
[298] ['14', '15', '17', '1B'] -> ((17 - 14) * 15) - 1B base 12
[299] ['14', '15', '17', '34'] -> (14 + 34) / (17 - 15) base 12
[300] ['14', '15', '18', '18'] -> ((18 - 15) * 14) - 18 base 12
[301] ['14', '15', '18', '27'] -> ((14 * 27) - 18) / 15 base 12
[302] ['14', '15', '18', '28'] -> ((15 * 28) + 14) / 18 base 12
[303] ['1', '1A', '30', '38'] -> ((30 / 1A) - 1) * 38 base 12
[304] ['14', '15', '18', '34'] -> ((18 - 14) * 15) - 34 base 12
[305] ['14', '15', '19', '30'] -> ((19 - 15) * 14) - 30 base 12
[306] ['14', '15', '1B', '21'] -> ((15 * 21) + 1B) / 14 base 12
[307] ['14', '15', '20', '34'] -> ((15 * 20) + 34) / 14 base 12
[308] ['14', '15', '20', '3B'] -> ((15 + 3B) / 14) + 20 base 12
[309] ['14', '15', '21', '27'] -> ((15 + 27) / 14) + 21 base 12
[310] ['14', '15', '21', '2B'] -> ((14 + 2B) / 15) + 21 base 12
[311] ['14', '15', '23', '38'] -> ((14 * 23) + 38) / 15 base 12
[312] ['14', '15', '25', '39'] -> ((15 * 25) - 39) / 14 base 12
[313] ['14', '15', '27', '27'] -> 27 - ((15 + 27) / 14) base 12
[314] ['1', '1A', '36', '38'] -> 36 / ((1A / 38) + 1) base 12
[315] ['14', '15', '27', '2B'] -> 27 - ((14 + 2B) / 15) base 12
[316] ['14', '15', '28', '30'] -> ((14 * 28) - 30) / 15 base 12
[317] ['14', '15', '30', '34'] -> (14 * 34) - (15 * 30) base 12
[318] ['14', '15', '38', '39'] -> (15 * 38) - (14 * 39) base 12
[319] ['14', '16', '16', '1A'] -> (14 * 1A) - (16 * 16) base 12
[320] ['14', '16', '16', '1B'] -> ((16 - 14) * 1B) - 16 base 12
[321] ['14', '16', '16', '32'] -> (16 + 32) / (16 - 14) base 12
[322] ['14', '16', '17', '22'] -> ((17 - 14) * 16) - 22 base 12
[323] ['14', '16', '17', '31'] -> (17 + 31) / (16 - 14) base 12
[324] ['14', '16', '18', '19'] -> ((19 - 16) * 14) - 18 base 12
[325] ['1', '1B', '22', '39'] -> ((1 + 39) / 1B) + 22 base 12
[326] ['14', '16', '18', '1A'] -> ((18 - 16) * 1A) - 14 base 12
[327] ['14', '16', '18', '38'] -> ((18 - 14) * 16) - 38 base 12
[328] ['14', '16', '1A', '2A'] -> (1A + 2A) / (16 - 14) base 12
[329] ['14', '16', '1B', '29'] -> (1B + 29) / (16 - 14) base 12
[330] ['14', '16', '1B', '2A'] -> ((16 * 1B) + 2A) / 14 base 12
[331] ['14', '16', '20', '22'] -> ((16 - 14) * 22) - 20 base 12
[332] ['14', '16', '20', '28'] -> (20 + 28) / (16 - 14) base 12
[333] ['14', '16', '20', '3A'] -> ((16 + 3A) / 14) + 20 base 12
[334] ['14', '16', '22', '27'] -> (14 * 27) - (16 * 22) base 12
[335] ['14', '16', '23', '25'] -> (23 + 25) / (16 - 14) base 12
[336] ['1', '1', '21', '27'] -> (21 + 27) / (1 + 1) base 12
[337] ['1', '1B', '22', '40'] -> (40 / (1 + 1B)) + 22 base 12
[338] ['14', '16', '23', '32'] -> ((16 * 23) - 32) / 14 base 12
[339] ['14', '16', '25', '26'] -> ((16 - 14) * 25) - 26 base 12
[340] ['14', '16', '25', '34'] -> ((14 * 25) + 34) / 16 base 12
[341] ['14', '16', '25', '3A'] -> ((16 * 3A) - 14) / 25 base 12
[342] ['14', '16', '26', '27'] -> 27 - ((16 + 26) / 14) base 12
[343] ['14', '16', '27', '2A'] -> ((16 - 14) * 27) - 2A base 12
[344] ['14', '16', '27', '32'] -> 27 - ((14 + 32) / 16) base 12
[345] ['14', '16', '28', '30'] -> ((16 - 14) * 28) - 30 base 12
[346] ['14', '16', '29', '32'] -> ((16 - 14) * 29) - 32 base 12
[347] ['14', '16', '2B', '36'] -> ((16 - 14) * 2B) - 36 base 12
[348] ['1', '1B', '26', '39'] -> 26 - ((1 + 39) / 1B) base 12
[349] ['14', '16', '30', '38'] -> ((16 - 14) * 30) - 38 base 12
[350] ['14', '16', '31', '3A'] -> ((16 - 14) * 31) - 3A base 12
[351] ['14', '16', '32', '35'] -> (16 * 32) - (14 * 35) base 12
[352] ['14', '16', '32', '40'] -> ((16 - 14) * 32) - 40 base 12
