[1] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) base 8
[70] ['1', '25', '34', '43'] -> 43 / ((25 / 34) + 1) base 8
[71] ['17', '17', '45', '46'] -> ((45 + 46) / 17) + 17 base 8
[72] ['17', '20', '20', '61'] -> ((17 + 61) / 20) + 20 base 8
[73] ['17', '20', '21', '26'] -> 26 - ((17 + 21) / 20) base 8
[74] ['17', '20', '21', '30'] -> (20 + 30) / (21 - 17) base 8
[75] ['17', '20', '21', '41'] -> ((17 + 41) / 20) + 21 base 8
[76] ['17', '20', '21', '53'] -> ((21 + 53) / 17) + 20 base 8
[77] ['17', '20', '22', '34'] -> ((22 - 17) * 20) - 34 base 8
[78] ['17', '20', '22', '52'] -> ((22 + 52) / 17) + 20 base 8
[79] ['17', '20', '22', '54'] -> (20 + 54) / (22 - 17) base 8
[80] ['17', '20', '23', '43'] -> ((17 * 23) + 43) / 20 base 8
[81] ['1', '25', '34', '44'] -> ((44 / 25) - 1) * 34 base 8
[82] ['17', '20', '23', '51'] -> ((23 + 51) / 17) + 20 base 8
[83] ['17', '20', '23', '54'] -> ((23 - 17) * 20) - 54 base 8
[84] ['17', '20', '23', '55'] -> (17 + 55) / (23 - 20) base 8
[85] ['17', '20', '25', '44'] -> ((20 * 25) - 44) / 17 base 8
[86] ['17', '20', '25', '47'] -> ((25 + 47) / 17) + 20 base 8
[87] ['17', '20', '26', '46'] -> ((26 + 46) / 17) + 20 base 8
[88] ['17', '20', '27', '31'] -> ((17 * 27) - 31) / 20 base 8
[89] ['17', '20', '27', '35'] -> 27 - ((20 + 35) / 17) base 8
[90] ['17', '20', '27', '41'] -> 27 - ((17 + 41) / 20) base 8
[91] ['17', '20', '27', '45'] -> ((27 + 45) / 17) + 20 base 8
[92] ['1', '25', '36', '42'] -> 42 / ((25 / 36) + 1) base 8
[93] ['17', '20', '30', '61'] -> 30 - ((17 + 61) / 20) base 8
[94] ['17', '20', '32', '42'] -> ((32 + 42) / 17) + 20 base 8
[95] ['17', '20', '33', '41'] -> ((33 + 41) / 17) + 20 base 8
[96] ['17', '20', '34', '40'] -> ((34 + 40) / 17) + 20 base 8
[97] ['17', '20', '35', '37'] -> ((35 + 37) / 17) + 20 base 8
[98] ['17', '20', '36', '36'] -> ((36 + 36) / 17) + 20 base 8
[99] ['17', '20', '37', '61'] -> ((37 + 61) / 20) + 17 base 8
[100] ['17', '20', '41', '57'] -> ((41 + 57) / 20) + 17 base 8
[101] ['17', '20', '43', '44'] -> (20 * 43) - (17 * 44) base 8
[102] ['17', '20', '43', '55'] -> ((43 + 55) / 20) + 17 base 8
[103] ['1', '25', '36', '43'] -> ((43 / 25) - 1) * 36 base 8
[104] ['17', '20', '44', '54'] -> ((44 + 54) / 20) + 17 base 8
[105] ['17', '20', '45', '53'] -> ((45 + 53) / 20) + 17 base 8
[106] ['17', '20', '46', '52'] -> ((46 + 52) / 20) + 17 base 8
[107] ['17', '20', '47', '51'] -> ((47 + 51) / 20) + 17 base 8
[108] ['17', '20', '50', '50'] -> ((50 + 50) / 20) + 17 base 8
[109] ['17', '21', '21', '27'] -> (21 + 27) / (21 - 17) base 8
[110] ['17', '21', '21', '34'] -> ((21 + 34) / 17) + 21 base 8
[111] ['17', '21', '22', '26'] -> (22 + 26) / (21 - 17) base 8
[112] ['17', '21', '22', '33'] -> ((22 + 33) / 17) + 21 base 8
[113] ['17', '21', '22', '37'] -> ((22 - 17) * 21) - 37 base 8
[114] ['1', '1', '32', '41'] -> 41 - (32 / (1 + 1)) base 8
[115] ['1', '25', '36', '52'] -> 36 / ((25 / 52) + 1) base 8
[116] ['17', '21', '22', '47'] -> ((17 + 47) / 22) + 21 base 8
[117] ['17', '21', '22', '53'] -> (21 + 53) / (22 - 17) base 8
[118] ['17', '21', '23', '25'] -> (23 + 25) / (21 - 17) base 8
[119] ['17', '21', '23', '27'] -> ((21 * 23) - 27) / 17 base 8
[120] ['17', '21', '23', '32'] -> ((23 + 32) / 17) + 21 base 8
[121] ['17', '21', '23', '52'] -> ((17 + 52) / 23) + 21 base 8
[122] ['17', '21', '25', '30'] -> ((25 + 30) / 17) + 21 base 8
[123] ['17', '21', '25', '31'] -> ((17 * 25) + 31) / 21 base 8
[124] ['17', '21', '25', '50'] -> ((25 - 21) * 17) - 50 base 8
[125] ['17', '21', '25', '60'] -> ((17 + 60) / 25) + 21 base 8
[126] ['1', '25', '37', '52'] -> ((37 / 25) - 1) * 52 base 8
[127] ['17', '21', '26', '30'] -> ((21 - 17) * 26) - 30 base 8
[128] ['17', '21', '27', '32'] -> ((21 - 17) * 27) - 32 base 8
[129] ['17', '21', '27', '44'] -> 27 - ((17 + 44) / 21) base 8
[130] ['17', '21', '30', '53'] -> 30 - ((21 + 53) / 17) base 8
[131] ['17', '21', '32', '40'] -> ((21 - 17) * 32) - 40 base 8
[132] ['17', '21', '33', '42'] -> ((21 - 17) * 33) - 42 base 8
[133] ['17', '21', '34', '44'] -> ((21 - 17) * 34) - 44 base 8
[134] ['17', '21', '35', '43'] -> ((21 * 43) - 17) / 35 base 8
[135] ['17', '21', '35', '46'] -> ((21 - 17) * 35) - 46 base 8
[136] ['17', '21', '37', '52'] -> ((21 - 17) * 37) - 52 base 8
[137] ['1', '25', '40', '43'] -> 40 / ((25 / 43) + 1) base 8
[138] ['17', '21', '41', '56'] -> ((21 - 17) * 41) - 56 base 8
[139] ['17', '21', '42', '60'] -> ((21 - 17) * 42) - 60 base 8
[140] ['17', '21', '43', '51'] -> (17 * 51) - (21 * 43) base 8
[141] ['17', '21', '44', '61'] -> ((44 + 61) / 21) + 17 base 8
[142] ['17', '21', '45', '60'] -> ((45 + 60) / 21) + 17 base 8
[143] ['17', '21', '46', '57'] -> ((46 + 57) / 21) + 17 base 8
[144] ['17', '21', '47', '55'] -> ((21 * 55) + 17) / 47 base 8
[145] ['17', '21', '47', '56'] -> ((47 + 56) / 21) + 17 base 8
[146] ['17', '21', '50', '54'] -> (21 * 50) - (17 * 54) base 8
[147] ['17', '21', '51', '54'] -> ((51 + 54) / 21) + 17 base 8
[148] ['1', '25', '43', '61'] -> (1 - (25 / 61)) * 43 base 8
[149] ['17', '21', '52', '53'] -> ((52 + 53) / 21) + 17 base 8
[150] ['17', '22', '22', '25'] -> ((17 + 25) / 22) + 22 base 8
[151] ['17', '22', '23', '45'] -> ((22 - 17) * 23) - 45 base 8
[152] ['17', '22', '23', '51'] -> (23 + 51) / (22 - 17) base 8
[153] ['17', '22', '25', '26'] -> 26 - ((17 + 25) / 22) base 8
[154] ['17', '22', '25', '47'] -> (25 + 47) / (22 - 17) base 8
[155] ['17', '22', '25', '53'] -> ((22 - 17) * 25) - 53 base 8
[156] ['17', '22', '26', '35'] -> ((17 + 35) / 26) + 22 base 8
[157] ['17', '22', '26', '46'] -> (26 + 46) / (22 - 17) base 8
[158] ['17', '22', '26', '50'] -> ((26 - 22) * 17) - 50 base 8
[159] ['1', '25', '44', '60'] -> (1 - (25 / 44)) * 60 base 8
[160] ['17', '22', '27', '33'] -> 27 - ((22 + 33) / 17) base 8
[161] ['17', '22', '27', '37'] -> ((17 + 37) / 27) + 22 base 8
[162] ['17', '22', '27', '45'] -> (27 + 45) / (22 - 17) base 8
[163] ['17', '22', '27', '47'] -> 27 - ((17 + 47) / 22) base 8
[164] ['17', '22', '27', '61'] -> ((22 - 17) * 27) - 61 base 8
[165] ['17', '22', '30', '41'] -> ((17 + 41) / 30) + 22 base 8
[166] ['17', '22', '30', '52'] -> 30 - ((22 + 52) / 17) base 8
[167] ['17', '22', '32', '36'] -> ((17 * 32) - 36) / 22 base 8
[168] ['17', '22', '32', '42'] -> (32 + 42) / (22 - 17) base 8
[169] ['17', '22', '32', '45'] -> ((17 + 45) / 32) + 22 base 8
[170] ['1', '26', '26', '50'] -> 50 / ((26 / 26) + 1) base 8
[171] ['17', '22', '33', '41'] -> (33 + 41) / (22 - 17) base 8
[172] ['17', '22', '33', '47'] -> ((17 + 47) / 33) + 22 base 8
[173] ['17', '22', '34', '40'] -> (34 + 40) / (22 - 17) base 8
[174] ['17', '22', '35', '37'] -> (35 + 37) / (22 - 17) base 8
[175] ['17', '22', '35', '53'] -> ((17 + 53) / 35) + 22 base 8
[176] ['17', '22', '37', '57'] -> ((17 + 57) / 37) + 22 base 8
[177] ['17', '22', '51', '61'] -> ((51 + 61) / 22) + 17 base 8
[178] ['17', '22', '52', '60'] -> ((52 + 60) / 22) + 17 base 8
[179] ['17', '22', '53', '57'] -> ((53 + 57) / 22) + 17 base 8
[180] ['17', '22', '54', '56'] -> ((54 + 56) / 22) + 17 base 8
[181] ['1', '26', '26', '53'] -> 26 - ((1 + 53) / 26) base 8
[182] ['17', '22', '55', '55'] -> ((55 + 55) / 22) + 17 base 8
[183] ['17', '23', '26', '27'] -> 26 - ((17 + 27) / 23) base 8
[184] ['17', '23', '26', '55'] -> (17 + 55) / (26 - 23) base 8
[185] ['17', '23', '27', '31'] -> ((23 * 31) - 17) / 27 base 8
[186] ['17', '23', '27', '32'] -> 27 - ((23 + 32) / 17) base 8
[187] ['17', '23', '27', '43'] -> ((17 * 27) + 43) / 23 base 8
[188] ['17', '23', '27', '52'] -> 27 - ((17 + 52) / 23) base 8
[189] ['17', '23', '30', '51'] -> 30 - ((23 + 51) / 17) base 8
[190] ['17', '23', '31', '33'] -> ((17 * 33) - 31) / 23 base 8
[191] ['17', '23', '37', '61'] -> (37 + 61) / (23 - 17) base 8
[192] ['1', '26', '26', '56'] -> 26 - (56 / (1 + 26)) base 8
[193] ['17', '23', '42', '43'] -> ((23 * 43) + 17) / 42 base 8
[194] ['17', '23', '42', '56'] -> (42 + 56) / (23 - 17) base 8
[195] ['17', '23', '43', '53'] -> (23 * 43) - (17 * 53) base 8
[196] ['17', '23', '43', '55'] -> (43 + 55) / (23 - 17) base 8
[197] ['17', '23', '44', '54'] -> (44 + 54) / (23 - 17) base 8
[198] ['17', '23', '45', '53'] -> (45 + 53) / (23 - 17) base 8
[199] ['17', '23', '46', '52'] -> (46 + 52) / (23 - 17) base 8
[200] ['17', '23', '47', '51'] -> (47 + 51) / (23 - 17) base 8
[201] ['17', '23', '50', '50'] -> (50 + 50) / (23 - 17) base 8
[202] ['17', '23', '56', '61'] -> ((56 + 61) / 23) + 17 base 8
[203] ['1', '26', '27', '55'] -> 26 - ((1 + 55) / 27) base 8
[204] ['17', '23', '57', '60'] -> ((57 + 60) / 23) + 17 base 8
[205] ['17', '24', '35', '43'] -> ((17 * 35) - 43) / 24 base 8
[206] ['17', '25', '26', '33'] -> 26 - ((17 + 33) / 25) base 8
[207] ['17', '25', '27', '30'] -> 27 - ((25 + 30) / 17) base 8
[208] ['17', '25', '27', '60'] -> 27 - ((17 + 60) / 25) base 8
[209] ['17', '25', '30', '55'] -> (17 + 55) / (30 - 25) base 8
[210] ['17', '25', '31', '33'] -> ((25 * 31) + 17) / 33 base 8
[211] ['17', '25', '36', '36'] -> ((17 * 36) - 36) / 25 base 8
[212] ['17', '25', '43', '44'] -> ((25 * 43) - 17) / 44 base 8
[213] ['17', '25', '55', '60'] -> ((25 * 55) + 17) / 60 base 8
[214] ['1', '26', '27', '60'] -> 26 - (60 / (1 + 27)) base 8
[215] ['17', '26', '26', '35'] -> 26 - ((17 + 35) / 26) base 8
[216] ['17', '26', '27', '27'] -> 27 - ((26 + 27) / 17) base 8
[217] ['17', '26', '27', '37'] -> 26 - ((17 + 37) / 27) base 8
[218] ['17', '26', '30', '46'] -> 30 - ((26 + 46) / 17) base 8
[219] ['17', '26', '31', '37'] -> ((17 * 37) - 31) / 26 base 8
[220] ['17', '26', '31', '55'] -> (17 + 55) / (31 - 26) base 8
[221] ['17', '26', '32', '45'] -> 26 - ((17 + 45) / 32) base 8
[222] ['17', '26', '33', '43'] -> ((17 * 33) + 43) / 26 base 8
[223] ['17', '26', '33', '47'] -> 26 - ((17 + 47) / 33) base 8
[224] ['17', '26', '35', '53'] -> 26 - ((17 + 53) / 35) base 8
[225] ['1', '1', '32', '44'] -> (1 + 1) * (44 - 32) base 8
[226] ['1', '26', '30', '47'] -> (1 + 47) / (30 - 26) base 8
[227] ['17', '26', '36', '55'] -> 26 - ((17 + 55) / 36) base 8
[228] ['17', '26', '37', '57'] -> 26 - ((17 + 57) / 37) base 8
[229] ['17', '26', '40', '50'] -> ((17 * 40) - 50) / 26 base 8
[230] ['17', '27', '30', '45'] -> 30 - ((27 + 45) / 17) base 8
[231] ['17', '27', '31', '35'] -> ((17 * 35) + 31) / 27 base 8
[232] ['17', '27', '32', '55'] -> (17 + 55) / (32 - 27) base 8
[233] ['17', '27', '33', '50'] -> ((33 - 27) * 17) - 50 base 8
[234] ['17', '27', '41', '43'] -> ((17 * 41) - 43) / 27 base 8
[235] ['17', '27', '43', '51'] -> ((27 * 43) + 17) / 51 base 8
[236] ['17', '30', '32', '42'] -> 30 - ((32 + 42) / 17) base 8
[237] ['1', '26', '30', '52'] -> (52 / (30 - 26)) - 1 base 8
[238] ['17', '30', '33', '41'] -> 30 - ((33 + 41) / 17) base 8
[239] ['17', '30', '34', '40'] -> 30 - ((34 + 40) / 17) base 8
[240] ['17', '30', '34', '50'] -> ((34 - 30) * 17) - 50 base 8
[241] ['17', '30', '35', '37'] -> 30 - ((35 + 37) / 17) base 8
[242] ['17', '30', '35', '55'] -> ((17 * 35) + 55) / 30 base 8
[243] ['17', '30', '43', '55'] -> ((17 * 43) - 55) / 30 base 8
[244] ['17', '31', '31', '53'] -> (17 * 53) - (31 * 31) base 8
[245] ['17', '31', '32', '41'] -> ((17 * 41) + 31) / 32 base 8
[246] ['17', '31', '32', '52'] -> (31 * 32) - (17 * 52) base 8
[247] ['17', '31', '32', '61'] -> 31 - ((32 + 61) / 17) base 8
[248] ['1', '26', '30', '57'] -> 26 - ((1 + 57) / 30) base 8
[249] ['17', '31', '33', '60'] -> 31 - ((33 + 60) / 17) base 8
[250] ['17', '31', '34', '47'] -> ((17 * 47) - 31) / 34 base 8
[251] ['17', '31', '34', '55'] -> (17 + 55) / (34 - 31) base 8
[252] ['17', '31', '34', '57'] -> 31 - ((34 + 57) / 17) base 8
[253] ['17', '31', '35', '50'] -> ((35 - 31) * 17) - 50 base 8
[254] ['17', '31', '35', '56'] -> 31 - ((35 + 56) / 17) base 8
[255] ['17', '31', '35', '57'] -> (31 * 35) - (17 * 57) base 8
[256] ['17', '31', '36', '55'] -> 31 - ((36 + 55) / 17) base 8
[257] ['17', '31', '37', '43'] -> ((17 * 37) + 43) / 31 base 8
[258] ['17', '31', '37', '46'] -> ((31 * 37) - 17) / 46 base 8
[259] ['1', '26', '31', '61'] -> 26 - ((1 + 61) / 31) base 8
[260] ['17', '31', '37', '54'] -> 31 - ((37 + 54) / 17) base 8
[261] ['17', '31', '40', '51'] -> ((17 * 51) + 31) / 40 base 8
[262] ['17', '31', '40', '53'] -> 31 - ((40 + 53) / 17) base 8
[263] ['17', '31', '42', '51'] -> 31 - ((42 + 51) / 17) base 8
[264] ['17', '31', '42', '57'] -> ((17 * 57) - 31) / 42 base 8
[265] ['17', '31', '45', '46'] -> 31 - ((45 + 46) / 17) base 8
[266] ['17', '31', '46', '61'] -> ((17 * 61) + 31) / 46 base 8
[267] ['17', '32', '35', '55'] -> (17 + 55) / (35 - 32) base 8
[268] ['17', '32', '36', '50'] -> ((36 - 32) * 17) - 50 base 8
[269] ['17', '32', '40', '50'] -> ((17 * 40) + 50) / 32 base 8
[270] ['1', '26', '36', '54'] -> 36 / ((26 / 54) + 1) base 8
[271] ['17', '32', '43', '45'] -> ((17 * 45) - 43) / 32 base 8
[272] ['17', '32', '51', '61'] -> 32 - ((51 + 61) / 17) base 8
[273] ['17', '32', '52', '60'] -> 32 - ((52 + 60) / 17) base 8
[274] ['17', '32', '53', '57'] -> 32 - ((53 + 57) / 17) base 8
[275] ['17', '32', '54', '56'] -> 32 - ((54 + 56) / 17) base 8
[276] ['17', '32', '55', '55'] -> 32 - ((55 + 55) / 17) base 8
[277] ['17', '33', '37', '50'] -> ((37 - 33) * 17) - 50 base 8
[278] ['17', '33', '43', '60'] -> ((33 * 43) + 17) / 60 base 8
[279] ['17', '33', '47', '55'] -> ((17 * 47) - 55) / 33 base 8
[280] ['17', '34', '37', '55'] -> (17 + 55) / (37 - 34) base 8
[281] ['1', '26', '37', '50'] -> 37 / ((26 / 50) + 1) base 8
[282] ['17', '34', '50', '50'] -> ((17 * 50) - 50) / 34 base 8
[283] ['17', '35', '40', '55'] -> (17 + 55) / (40 - 35) base 8
[284] ['17', '35', '41', '50'] -> ((41 - 35) * 17) - 50 base 8
[285] ['17', '35', '44', '50'] -> ((17 * 44) + 50) / 35 base 8
[286] ['17', '36', '36', '46'] -> ((17 * 46) + 36) / 36 base 8
[287] ['17', '36', '36', '52'] -> ((17 * 52) - 36) / 36 base 8
[288] ['17', '36', '41', '52'] -> ((17 * 52) + 36) / 41 base 8
[289] ['17', '36', '41', '55'] -> (17 + 55) / (41 - 36) base 8
[290] ['17', '36', '45', '55'] -> ((17 * 45) + 55) / 36 base 8
[291] ['17', '36', '53', '55'] -> ((17 * 53) - 55) / 36 base 8
[292] ['1', '26', '40', '54'] -> ((40 / 26) - 1) * 54 base 8
[293] ['17', '37', '42', '55'] -> (17 + 55) / (42 - 37) base 8
[294] ['17', '37', '43', '50'] -> ((43 - 37) * 17) - 50 base 8
[295] ['17', '40', '44', '50'] -> ((44 - 40) * 17) - 50 base 8
[296] ['17', '41', '44', '55'] -> (17 + 55) / (44 - 41) base 8
[297] ['17', '41', '45', '50'] -> ((45 - 41) * 17) - 50 base 8
[298] ['17', '41', '51', '55'] -> ((17 * 51) + 55) / 41 base 8
[299] ['17', '42', '43', '53'] -> ((17 * 53) + 43) / 42 base 8
[300] ['17', '42', '45', '55'] -> (17 + 55) / (45 - 42) base 8
[301] ['17', '42', '50', '60'] -> ((17 * 60) - 50) / 42 base 8
[302] ['17', '43', '43', '61'] -> ((17 * 61) - 43) / 43 base 8
[303] ['1', '26', '41', '50'] -> ((41 / 26) - 1) * 50 base 8
[304] ['17', '43', '45', '57'] -> ((17 * 57) + 43) / 45 base 8
[305] ['17', '43', '50', '54'] -> ((17 * 54) + 50) / 43 base 8
[306] ['17', '44', '47', '55'] -> (17 + 55) / (47 - 44) base 8
[307] ['17', '45', '50', '51'] -> ((51 - 45) * 17) - 50 base 8
[308] ['17', '46', '50', '52'] -> ((52 - 46) * 17) - 50 base 8
[309] ['17', '46', '51', '55'] -> (17 + 55) / (51 - 46) base 8
[310] ['17', '47', '50', '53'] -> ((53 - 47) * 17) - 50 base 8
[311] ['17', '47', '52', '55'] -> (17 + 55) / (52 - 47) base 8
[312] ['17', '50', '50', '54'] -> ((54 - 50) * 17) - 50 base 8
[313] ['17', '50', '51', '55'] -> ((55 - 51) * 17) - 50 base 8
[314] ['1', '27', '27', '50'] -> 50 / ((27 / 27) + 1) base 8
[315] ['17', '50', '52', '56'] -> ((56 - 52) * 17) - 50 base 8
[316] ['17', '50', '53', '55'] -> (17 + 55) / (53 - 50) base 8
[317] ['17', '50', '53', '57'] -> ((57 - 53) * 17) - 50 base 8
[318] ['17', '50', '54', '60'] -> ((60 - 54) * 17) - 50 base 8
[319] ['17', '51', '54', '55'] -> (17 + 55) / (54 - 51) base 8
[320] ['17', '52', '55', '55'] -> (17 + 55) / (55 - 52) base 8
[321] ['17', '53', '55', '56'] -> (17 + 55) / (56 - 53) base 8
[322] ['17', '54', '55', '57'] -> (17 + 55) / (57 - 54) base 8
[323] ['17', '55', '55', '60'] -> (17 + 55) / (60 - 55) base 8
[324] ['17', '55', '56', '61'] -> (17 + 55) / (61 - 56) base 8
[325] ['1', '27', '27', '53'] -> ((53 / 27) - 1) * 27 base 8
[326] ['20', '20', '20', '22'] -> ((20 + 20) / 20) + 22 base 8
[327] ['20', '20', '20', '23'] -> ((20 * 23) + 20) / 20 base 8
[328] ['20', '20', '20', '25'] -> ((20 * 25) - 20) / 20 base 8
[329] ['20', '20', '20', '26'] -> 26 - ((20 + 20) / 20) base 8
[330] ['20', '20', '20', '60'] -> ((20 + 60) / 20) + 20 base 8
[331] ['20', '20', '21', '40'] -> ((20 + 40) / 20) + 21 base 8
[332] ['20', '20', '21', '57'] -> ((21 + 57) / 20) + 20 base 8
[333] ['20', '20', '21', '60'] -> ((20 * 21) + 60) / 20 base 8
[334] ['20', '20', '22', '22'] -> ((22 - 20) * 22) - 20 base 8
[335] ['20', '20', '22', '56'] -> ((22 + 56) / 20) + 20 base 8
[336] ['1', '1', '33', '42'] -> ((1 + 1) * 33) - 42 base 8
[337] ['1', '27', '31', '47'] -> (1 + 47) / (31 - 27) base 8
[338] ['20', '20', '23', '54'] -> (20 + 54) / (23 - 20) base 8
[339] ['20', '20', '23', '55'] -> ((23 + 55) / 20) + 20 base 8
[340] ['20', '20', '25', '53'] -> ((25 + 53) / 20) + 20 base 8
[341] ['20', '20', '26', '40'] -> ((20 * 26) - 40) / 20 base 8
[342] ['20', '20', '27', '40'] -> 27 - ((20 + 40) / 20) base 8
[343] ['20', '20', '27', '51'] -> ((27 + 51) / 20) + 20 base 8
[344] ['20', '20', '27', '60'] -> ((20 * 27) - 60) / 20 base 8
[345] ['20', '20', '30', '35'] -> ((20 * 35) + 20) / 30 base 8
[346] ['20', '20', '30', '37'] -> ((20 * 37) - 20) / 30 base 8
[347] ['20', '20', '30', '60'] -> 30 - ((20 + 60) / 20) base 8
[348] ['1', '27', '31', '52'] -> (52 / (31 - 27)) - 1 base 8
[349] ['20', '20', '31', '47'] -> ((31 + 47) / 20) + 20 base 8
[350] ['20', '20', '33', '45'] -> ((33 + 45) / 20) + 20 base 8
[351] ['20', '20', '34', '42'] -> ((20 * 42) + 20) / 34 base 8
[352] ['20', '20', '35', '43'] -> ((35 + 43) / 20) + 20 base 8
[353] ['20', '20', '37', '41'] -> ((37 + 41) / 20) + 20 base 8
[354] ['20', '20', '40', '40'] -> ((40 + 40) / 20) + 20 base 8
[355] ['20', '20', '40', '47'] -> ((20 * 47) + 20) / 40 base 8
[356] ['20', '20', '40', '51'] -> ((20 * 51) - 20) / 40 base 8
[357] ['20', '20', '44', '54'] -> ((20 * 54) + 20) / 44 base 8
[358] ['20', '20', '44', '56'] -> ((20 * 56) - 20) / 44 base 8
[359] ['1', '27', '36', '56'] -> 36 / ((27 / 56) + 1) base 8
