[1] ['1', '1', '1', 'A'] -> (1 + 1 + 1) * A base 13
[254] ['14', '17', '1C', '36'] -> ((17 - 14) * 1C) - 36 base 13
[255] ['14', '17', '21', '25'] -> ((17 + 25) / 14) + 21 base 13
[256] ['14', '17', '21', '34'] -> ((14 + 34) / 17) + 21 base 13
[257] ['14', '17', '25', '27'] -> 27 - ((17 + 25) / 14) base 13
[258] ['14', '17', '2C', '37'] -> ((14 * 2C) - 37) / 17 base 13
[259] ['1', '19', '26', '37'] -> 26 - (37 / (1 + 19)) base 13
[260] ['14', '17', '32', '3A'] -> (32 + 3A) / (17 - 14) base 13
[261] ['14', '17', '33', '39'] -> (33 + 39) / (17 - 14) base 13
[262] ['14', '17', '34', '38'] -> (34 + 38) / (17 - 14) base 13
[263] ['14', '17', '35', '37'] -> (35 + 37) / (17 - 14) base 13
[264] ['14', '18', '18', '1B'] -> ((1B - 18) * 14) - 18 base 13
[265] ['14', '18', '19', '1C'] -> ((1C - 19) * 14) - 18 base 13
[266] ['14', '18', '1A', '21'] -> ((18 * 1A) + 21) / 14 base 13
[267] ['14', '18', '1A', '34'] -> (14 + 34) / (1A - 18) base 13
[268] ['14', '18', '1C', '26'] -> 26 - ((14 + 1C) / 18) base 13
[269] ['14', '18', '1C', '2C'] -> ((1C - 18) * 14) - 2C base 13
[270] ['1', '19', '35', '36'] -> 36 / ((19 / 35) + 1) base 13
[271] ['14', '18', '20', '23'] -> ((23 - 20) * 14) - 18 base 13
[272] ['14', '18', '20', '2A'] -> ((18 * 20) - 2A) / 14 base 13
[273] ['14', '18', '20', '38'] -> ((18 + 38) / 14) + 20 base 13
[274] ['14', '18', '21', '37'] -> ((14 + 37) / 18) + 21 base 13
[275] ['14', '18', '22', '25'] -> ((25 - 22) * 14) - 18 base 13
[276] ['14', '18', '23', '26'] -> ((26 - 23) * 14) - 18 base 13
[277] ['14', '18', '25', '28'] -> ((28 - 25) * 14) - 18 base 13
[278] ['14', '18', '26', '29'] -> ((29 - 26) * 14) - 18 base 13
[279] ['14', '18', '27', '2A'] -> ((2A - 27) * 14) - 18 base 13
[280] ['14', '18', '27', '37'] -> 27 - ((14 + 37) / 18) base 13
[281] ['1', '1A', '22', '36'] -> ((1 + 36) / 1A) + 22 base 13
[282] ['14', '18', '28', '2B'] -> ((2B - 28) * 14) - 18 base 13
[283] ['14', '18', '28', '38'] -> 28 - ((18 + 38) / 14) base 13
[284] ['14', '18', '29', '2C'] -> ((2C - 29) * 14) - 18 base 13
[285] ['14', '18', '29', '36'] -> (14 * 36) - (18 * 29) base 13
[286] ['14', '18', '2B', '31'] -> ((31 - 2B) * 14) - 18 base 13
[287] ['14', '18', '2C', '32'] -> ((32 - 2C) * 14) - 18 base 13
[288] ['14', '18', '30', '33'] -> ((33 - 30) * 14) - 18 base 13
[289] ['14', '18', '31', '34'] -> ((34 - 31) * 14) - 18 base 13
[290] ['14', '18', '34', '37'] -> ((37 - 34) * 14) - 18 base 13
[291] ['14', '18', '35', '38'] -> ((38 - 35) * 14) - 18 base 13
[292] ['1', '1A', '22', '39'] -> (39 / (1 + 1A)) + 22 base 13
[293] ['14', '18', '36', '39'] -> ((39 - 36) * 14) - 18 base 13
[294] ['14', '18', '37', '3A'] -> ((3A - 37) * 14) - 18 base 13
[295] ['14', '19', '19', '20'] -> ((19 * 19) + 20) / 14 base 13
[296] ['14', '19', '1A', '22'] -> (19 * 1A) - (14 * 22) base 13
[297] ['14', '19', '1B', '34'] -> (14 + 34) / (1B - 19) base 13
[298] ['14', '19', '1C', '31'] -> ((19 * 1C) - 31) / 14 base 13
[299] ['14', '19', '20', '2C'] -> ((20 - 19) * 14) - 2C base 13
