[1] ['1', '1', '1', 'C'] -> (1 + 1 + 1) * C base 16
[4786] ['3', '8', 'E', '10'] -> (E - (10 / 8)) * 3 base 16
[4787] ['3', '8', 'E', '1E'] -> ((8 + E) * 3) - 1E base 16
[4788] ['3', '8', 'E', '30'] -> (3 * E) - (30 / 8) base 16
[4789] ['3', '8', 'F', '19'] -> ((19 - 8) * 3) - F base 16
[4790] ['3', '8', 'F', '1C'] -> (8 * F) - (1C * 3) base 16
[4791] ['3', '8', '10', '20'] -> (10 - (20 / 8)) * 3 base 16
[4792] ['3', '8', '11', '1C'] -> ((11 * 8) - 1C) / 3 base 16
[4793] ['3', '8', '11', '28'] -> (11 - (28 / 8)) * 3 base 16
[4794] ['3', '8', '12', '12'] -> (8 - (12 / 3)) * 12 base 16
[4795] ['1', '1', '1', '13'] -> (1 + 1) * (13 - 1) base 16
[4796] ['1', '1', '6', 'F'] -> ((1 + 1) * F) + 6 base 16
[4797] ['1', '3', '13', '1C'] -> (1 + 3) * (1C - 13) base 16
[4798] ['3', '8', '12', '14'] -> 12 / (3 - (14 / 8)) base 16
[4799] ['3', '8', '12', '1C'] -> 12 / ((1C / 8) - 3) base 16
[4800] ['3', '8', '12', '28'] -> ((28 / 8) - 3) * 12 base 16
[4801] ['3', '8', '12', '2E'] -> ((2E + 8) / 3) + 12 base 16
[4802] ['3', '8', '13', '2B'] -> ((2B + 8) / 3) + 13 base 16
[4803] ['3', '8', '15', '1B'] -> ((1B - 8) * 3) - 15 base 16
[4804] ['3', '8', '15', '2C'] -> (15 * 8) - (2C * 3) base 16
[4805] ['3', '8', '16', '18'] -> 18 / (8 - (16 / 3)) base 16
[4806] ['3', '8', '16', '2E'] -> 2E - ((16 + 8) / 3) base 16
[4807] ['3', '8', '18', '1A'] -> 18 / ((1A / 3) - 8) base 16
[4808] ['1', '3', '13', '28'] -> ((1 + 3) * 13) - 28 base 16
[4809] ['3', '8', '19', '19'] -> ((19 + 8) / 3) + 19 base 16
[4810] ['3', '8', '1B', '1C'] -> ((1C / 3) - 8) * 1B base 16
[4811] ['3', '8', '1B', '1D'] -> ((1D - 8) * 3) - 1B base 16
[4812] ['3', '8', '1B', '1E'] -> 1B / ((1E / 8) - 3) base 16
[4813] ['3', '8', '1D', '28'] -> 28 - ((1D + 3) / 8) base 16
[4814] ['3', '8', '1E', '30'] -> ((1E / 8) - 3) * 30 base 16
[4815] ['3', '8', '1F', '21'] -> ((1F - 8) * 3) - 21 base 16
[4816] ['3', '8', '1F', '25'] -> ((25 + 3) / 8) + 1F base 16
[4817] ['3', '8', '20', '21'] -> ((21 / 8) - 3) * 20 base 16
[4818] ['3', '8', '22', '2A'] -> ((22 - 8) * 3) - 2A base 16
[4819] ['1', '3', '14', '15'] -> ((14 - 1) * 3) - 15 base 16
[4820] ['3', '8', '22', '2D'] -> 2D / ((22 / 8) - 3) base 16
[4821] ['3', '8', '23', '31'] -> ((23 + 31) / 3) + 8 base 16
[4822] ['3', '8', '25', '2F'] -> ((25 + 2F) / 3) + 8 base 16
[4823] ['3', '8', '27', '2D'] -> ((27 + 2D) / 3) + 8 base 16
[4824] ['3', '8', '2A', '2D'] -> 2A - ((2D + 3) / 8) base 16
[4825] ['3', '9', '9', '17'] -> ((3 * 9) - 17) * 9 base 16
[4826] ['3', '9', '9', '1F'] -> (1F - (3 * 9)) * 9 base 16
[4827] ['3', '9', 'A', 'A'] -> ((A / A) + 3) * 9 base 16
[4828] ['3', '9', 'A', '15'] -> ((9 + A) * 3) - 15 base 16
[4829] ['3', '9', 'A', '18'] -> ((9 - 3) * A) - 18 base 16
[4830] ['1', '3', '14', '1B'] -> ((1 + 14) * 3) - 1B base 16
[4831] ['3', '9', 'A', '19'] -> ((19 - A) * 3) - 9 base 16
[4832] ['3', '9', 'A', '1A'] -> ((3 * A) - 1A) * 9 base 16
[4833] ['3', '9', 'A', '1B'] -> ((A - 3) * 9) - 1B base 16
[4834] ['3', '9', 'B', 'B'] -> ((B / B) + 3) * 9 base 16
[4835] ['3', '9', 'B', 'F'] -> (3 + F) * (B - 9) base 16
[4836] ['3', '9', 'B', '1A'] -> ((1A - B) * 3) - 9 base 16
[4837] ['3', '9', 'B', '1D'] -> ((3 * B) - 1D) * 9 base 16
[4838] ['3', '9', 'C', '19'] -> ((19 - 9) * 3) - C base 16
[4839] ['3', '9', 'C', '1A'] -> C / (9 - (1A / 3)) base 16
[4840] ['3', '9', 'C', '1C'] -> C / ((1C / 3) - 9) base 16
[4841] ['1', '3', '14', '1C'] -> ((3 - 1) * 1C) - 14 base 16
[4842] ['3', '9', 'C', '1D'] -> ((9 + C) / 3) + 1D base 16
[4843] ['3', '9', 'C', '27'] -> 9 / ((27 / C) - 3) base 16
[4844] ['3', '9', 'C', '2B'] -> 2B - ((9 + C) / 3) base 16
[4845] ['3', '9', 'D', 'D'] -> ((D / D) + 3) * 9 base 16
[4846] ['3', '9', 'D', '1C'] -> ((1C - D) * 3) - 9 base 16
[4847] ['3', '9', 'D', '1E'] -> ((9 + D) * 3) - 1E base 16
[4848] ['3', '9', 'E', 'E'] -> ((E / E) + 3) * 9 base 16
[4849] ['3', '9', 'E', '1D'] -> ((1D - E) * 3) - 9 base 16
[4850] ['3', '9', 'E', '21'] -> ((9 + E) * 3) - 21 base 16
[4851] ['3', '9', 'E', '2E'] -> (2E - (3 * E)) * 9 base 16
[4852] ['1', '3', '14', '29'] -> 29 - (14 / (1 + 3)) base 16
[4853] ['3', '9', 'E', '30'] -> ((9 - 3) * E) - 30 base 16
[4854] ['3', '9', 'F', '1A'] -> ((1A - 9) * 3) - F base 16
[4855] ['3', '9', 'F', '1C'] -> ((9 + F) / 3) + 1C base 16
[4856] ['3', '9', 'F', '1E'] -> ((1E - F) * 3) - 9 base 16
[4857] ['3', '9', 'F', '2C'] -> 2C - ((9 + F) / 3) base 16
[4858] ['3', '9', 'F', '31'] -> (31 - (3 * F)) * 9 base 16
[4859] ['3', '9', '10', '10'] -> ((10 / 10) + 3) * 9 base 16
[4860] ['3', '9', '10', '27'] -> ((10 + 9) * 3) - 27 base 16
[4861] ['3', '9', '11', '11'] -> ((11 / 11) + 3) * 9 base 16
[4862] ['3', '9', '11', '20'] -> ((20 - 11) * 3) - 9 base 16
[4863] ['1', '3', '14', '2B'] -> 2B - ((1 + 14) / 3) base 16
[4864] ['3', '9', '11', '28'] -> 28 / (3 - (11 / 9)) base 16
[4865] ['3', '9', '11', '2A'] -> ((11 + 9) * 3) - 2A base 16
[4866] ['3', '9', '11', '30'] -> ((30 + 9) / 3) + 11 base 16
[4867] ['3', '9', '12', '1D'] -> (1D - (3 * 9)) * 12 base 16
[4868] ['3', '9', '13', '13'] -> ((13 / 13) + 3) * 9 base 16
[4869] ['3', '9', '13', '20'] -> 20 / (3 - (13 / 9)) base 16
[4870] ['3', '9', '13', '22'] -> ((22 - 13) * 3) - 9 base 16
[4871] ['3', '9', '13', '2A'] -> ((2A + 9) / 3) + 13 base 16
[4872] ['3', '9', '13', '30'] -> ((13 + 9) * 3) - 30 base 16
[4873] ['3', '9', '14', '14'] -> ((14 / 14) + 3) * 9 base 16
[4874] ['1', '3', '14', '2C'] -> ((1 + 3) * 14) - 2C base 16
[4875] ['3', '9', '14', '23'] -> ((23 - 14) * 3) - 9 base 16
[4876] ['3', '9', '14', '27'] -> ((27 + 9) / 3) + 14 base 16
[4877] ['3', '9', '15', '1A'] -> ((15 + 9) / 3) + 1A base 16
[4878] ['3', '9', '15', '2E'] -> 2E - ((15 + 9) / 3) base 16
[4879] ['3', '9', '16', '16'] -> ((16 / 16) + 3) * 9 base 16
[4880] ['3', '9', '16', '21'] -> ((21 + 9) / 3) + 16 base 16
[4881] ['3', '9', '16', '25'] -> ((25 - 16) * 3) - 9 base 16
[4882] ['3', '9', '17', '17'] -> ((17 / 17) + 3) * 9 base 16
[4883] ['3', '9', '17', '1B'] -> (9 - (17 / 3)) * 1B base 16
[4884] ['3', '9', '17', '26'] -> ((26 - 17) * 3) - 9 base 16
[4885] ['1', '3', '14', '2F'] -> ((1 + 2F) / 3) + 14 base 16
[4886] ['3', '9', '18', '22'] -> (18 / (3 + 9)) + 22 base 16
[4887] ['3', '9', '18', '26'] -> 26 - (18 / (3 + 9)) base 16
[4888] ['3', '9', '18', '2F'] -> 2F - ((18 + 9) / 3) base 16
[4889] ['3', '9', '19', '19'] -> ((19 / 19) + 3) * 9 base 16
[4890] ['3', '9', '19', '28'] -> ((28 - 19) * 3) - 9 base 16
[4891] ['3', '9', '1A', '1A'] -> ((1A / 1A) + 3) * 9 base 16
[4892] ['3', '9', '1A', '29'] -> ((29 - 1A) * 3) - 9 base 16
[4893] ['3', '9', '1B', '1F'] -> ((1F / 3) - 9) * 1B base 16
[4894] ['3', '9', '1C', '1C'] -> ((1C / 1C) + 3) * 9 base 16
[4895] ['3', '9', '1C', '2B'] -> ((2B - 1C) * 3) - 9 base 16
[4896] ['1', '3', '15', '18'] -> ((15 - 1) * 3) - 18 base 16
[4897] ['3', '9', '1D', '1D'] -> ((1D / 1D) + 3) * 9 base 16
[4898] ['3', '9', '1D', '2C'] -> ((2C - 1D) * 3) - 9 base 16
[4899] ['3', '9', '1E', '1E'] -> ((1E / 1E) + 3) * 9 base 16
[4900] ['3', '9', '1E', '31'] -> 31 - ((1E + 9) / 3) base 16
[4901] ['3', '9', '1F', '1F'] -> ((1F / 1F) + 3) * 9 base 16
[4902] ['3', '9', '1F', '2E'] -> ((2E - 1F) * 3) - 9 base 16
[4903] ['3', '9', '20', '20'] -> ((20 / 20) + 3) * 9 base 16
[4904] ['3', '9', '20', '2F'] -> ((2F - 20) * 3) - 9 base 16
[4905] ['3', '9', '20', '30'] -> (30 / (3 + 9)) + 20 base 16
[4906] ['3', '9', '20', '31'] -> ((20 + 31) / 3) + 9 base 16
[4907] ['1', '1', '6', '15'] -> ((1 + 1) * 15) - 6 base 16
[4908] ['1', '3', '16', '18'] -> 3 / (1 - (16 / 18)) base 16
[4909] ['3', '9', '21', '21'] -> ((21 / 21) + 3) * 9 base 16
[4910] ['3', '9', '22', '22'] -> ((22 / 22) + 3) * 9 base 16
[4911] ['3', '9', '22', '27'] -> ((22 - 9) * 3) - 27 base 16
[4912] ['3', '9', '22', '2F'] -> ((22 + 2F) / 3) + 9 base 16
[4913] ['3', '9', '22', '31'] -> ((31 - 22) * 3) - 9 base 16
[4914] ['3', '9', '23', '23'] -> ((23 / 23) + 3) * 9 base 16
[4915] ['3', '9', '23', '2E'] -> ((23 + 2E) / 3) + 9 base 16
[4916] ['3', '9', '25', '25'] -> ((25 / 25) + 3) * 9 base 16
[4917] ['3', '9', '25', '30'] -> ((25 - 9) * 3) - 30 base 16
[4918] ['3', '9', '26', '26'] -> ((26 / 26) + 3) * 9 base 16
[4919] ['1', '3', '16', '1B'] -> ((16 - 1) * 3) - 1B base 16
[4920] ['3', '9', '26', '2B'] -> ((26 + 2B) / 3) + 9 base 16
[4921] ['3', '9', '27', '27'] -> ((27 / 27) + 3) * 9 base 16
[4922] ['3', '9', '28', '28'] -> ((28 / 28) + 3) * 9 base 16
[4923] ['3', '9', '28', '30'] -> 28 - (30 / (3 + 9)) base 16
[4924] ['3', '9', '29', '29'] -> ((29 / 29) + 3) * 9 base 16
[4925] ['3', '9', '2A', '2A'] -> ((2A / 2A) + 3) * 9 base 16
[4926] ['3', '9', '2B', '2B'] -> ((2B / 2B) + 3) * 9 base 16
[4927] ['3', '9', '2C', '2C'] -> ((2C / 2C) + 3) * 9 base 16
[4928] ['3', '9', '2D', '2D'] -> ((2D / 2D) + 3) * 9 base 16
[4929] ['3', '9', '2E', '2E'] -> ((2E / 2E) + 3) * 9 base 16
[4930] ['1', '3', '16', '29'] -> ((1 + 29) / 3) + 16 base 16
[4931] ['3', '9', '2F', '2F'] -> ((2F / 2F) + 3) * 9 base 16
[4932] ['3', '9', '30', '30'] -> ((30 / 30) + 3) * 9 base 16
[4933] ['3', '9', '31', '31'] -> ((31 / 31) + 3) * 9 base 16
[4934] ['3', 'A', 'A', 'B'] -> ((A / A) + B) * 3 base 16
[4935] ['3', 'A', 'A', '12'] -> (3 - (A / A)) * 12 base 16
[4936] ['3', 'A', 'A', '14'] -> ((14 / A) + A) * 3 base 16
[4937] ['3', 'A', 'A', '18'] -> ((A + A) * 3) - 18 base 16
[4938] ['3', 'A', 'B', '16'] -> ((16 / B) + A) * 3 base 16
[4939] ['3', 'A', 'B', '1B'] -> ((A + B) * 3) - 1B base 16
[4940] ['3', 'A', 'B', '1D'] -> ((A + B) / 3) + 1D base 16
[4941] ['1', '3', '17', '1C'] -> ((1 + 17) / 3) + 1C base 16
[4942] ['3', 'A', 'B', '29'] -> ((A - 3) * B) - 29 base 16
[4943] ['3', 'A', 'B', '2B'] -> 2B - ((A + B) / 3) base 16
[4944] ['3', 'A', 'B', '2C'] -> ((B - 3) * A) - 2C base 16
[4945] ['3', 'A', 'C', 'C'] -> ((A * C) - C) / 3 base 16
[4946] ['3', 'A', 'C', 'F'] -> (3 + F) * (C - A) base 16
[4947] ['3', 'A', 'C', '1A'] -> ((1A - A) * 3) - C base 16
[4948] ['3', 'A', 'C', '1C'] -> (A * C) - (1C * 3) base 16
[4949] ['3', 'A', 'C', '1D'] -> C / (A - (1D / 3)) base 16
[4950] ['3', 'A', 'C', '30'] -> ((A - 3) * C) - 30 base 16
[4951] ['3', 'A', 'D', '16'] -> ((A * D) - 16) / 3 base 16
[4952] ['1', '3', '17', '1E'] -> ((17 - 1) * 3) - 1E base 16
[4953] ['3', 'A', 'D', '1A'] -> ((1A / D) + A) * 3 base 16
[4954] ['3', 'A', 'D', '21'] -> ((A + D) * 3) - 21 base 16
[4955] ['3', 'A', 'E', '20'] -> ((A * E) - 20) / 3 base 16
[4956] ['3', 'A', 'E', '2C'] -> 2C - ((A + E) / 3) base 16
[4957] ['3', 'A', 'F', '18'] -> (3 - (F / A)) * 18 base 16
[4958] ['3', 'A', 'F', '19'] -> ((F / 19) + 3) * A base 16
[4959] ['3', 'A', 'F', '27'] -> ((A + F) * 3) - 27 base 16
[4960] ['3', 'A', 'F', '2A'] -> ((A * F) - 2A) / 3 base 16
[4961] ['3', 'A', '10', '20'] -> ((20 / 10) + A) * 3 base 16
[4962] ['3', 'A', '10', '28'] -> (10 - (28 / A)) * 3 base 16
[4963] ['1', '3', '17', '26'] -> ((1 + 26) / 3) + 17 base 16
[4964] ['3', 'A', '10', '2A'] -> ((10 + A) * 3) - 2A base 16
[4965] ['3', 'A', '11', '26'] -> 26 - ((11 + 3) / A) base 16
[4966] ['3', 'A', '11', '2F'] -> ((2F + A) / 3) + 11 base 16
[4967] ['3', 'A', '12', '23'] -> 12 / ((23 / A) - 3) base 16
[4968] ['3', 'A', '12', '2C'] -> ((2C + A) / 3) + 12 base 16
[4969] ['3', 'A', '12', '31'] -> A / (3 - (31 / 12)) base 16
[4970] ['3', 'A', '13', '26'] -> ((26 / 13) + A) * 3 base 16
[4971] ['3', 'A', '14', '26'] -> ((26 + A) / 3) + 14 base 16
[4972] ['3', 'A', '14', '28'] -> ((28 / 14) + A) * 3 base 16
[4973] ['3', 'A', '14', '30'] -> ((30 / A) - 3) * 14 base 16
[4974] ['1', '3', '17', '2C'] -> 2C - ((1 + 17) / 3) base 16
[4975] ['3', 'A', '15', '1D'] -> ((1D - A) * 3) - 15 base 16
[4976] ['3', 'A', '15', '28'] -> (3 - (15 / A)) * 28 base 16
[4977] ['3', 'A', '15', '2A'] -> ((2A / 15) + A) * 3 base 16
[4978] ['3', 'A', '17', '2F'] -> 2F - ((17 + A) / 3) base 16
[4979] ['3', 'A', '18', '1C'] -> 18 / (A - (1C / 3)) base 16
[4980] ['3', 'A', '18', '20'] -> 18 / ((20 / 3) - A) base 16
[4981] ['3', 'A', '18', '30'] -> ((30 / 18) + A) * 3 base 16
[4982] ['3', 'A', '1A', '1B'] -> (A - (1A / 3)) * 1B base 16
[4983] ['3', 'A', '1A', '22'] -> (1A / (3 + A)) + 22 base 16
[4984] ['3', 'A', '1A', '26'] -> 26 - (1A / (3 + A)) base 16
[4985] ['1', '3', '17', '31'] -> (17 + 31) / (3 - 1) base 16
[4986] ['3', 'A', '1B', '1F'] -> ((1F - A) * 3) - 1B base 16
[4987] ['3', 'A', '1B', '22'] -> ((22 / 3) - A) * 1B base 16
[4988] ['3', 'A', '1B', '2D'] -> ((1B / 2D) + 3) * A base 16
[4989] ['3', 'A', '20', '25'] -> ((25 + 3) / A) + 20 base 16
[4990] ['3', 'A', '20', '2E'] -> ((20 + 2E) / 3) + A base 16
[4991] ['3', 'A', '21', '2D'] -> ((21 + 2D) / 3) + A base 16
[4992] ['3', 'A', '22', '30'] -> 30 / ((22 / 3) - A) base 16
[4993] ['3', 'A', '23', '27'] -> ((23 - A) * 3) - 27 base 16
[4994] ['3', 'A', '23', '2B'] -> ((23 + 2B) / 3) + A base 16
[4995] ['3', 'A', '25', '29'] -> ((25 + 29) / 3) + A base 16
[4996] ['1', '3', '18', '1A'] -> 3 / ((1A / 18) - 1) base 16
[4997] ['3', 'A', '26', '2D'] -> ((26 / A) - 3) * 2D base 16
[4998] ['3', 'A', '26', '30'] -> ((26 - A) * 3) - 30 base 16
[4999] ['3', 'A', '27', '28'] -> ((27 / A) - 3) * 28 base 16
[5000] ['3', 'B', 'B', '12'] -> (3 - (B / B)) * 12 base 16
[5001] ['3', 'B', 'B', '1E'] -> ((B + B) * 3) - 1E base 16
[5002] ['3', 'B', 'C', '1B'] -> ((1B - B) * 3) - C base 16
[5003] ['3', 'B', 'D', 'D'] -> ((D / D) + B) * 3 base 16
[5004] ['3', 'B', 'D', '1C'] -> ((B + D) / 3) + 1C base 16
[5005] ['3', 'B', 'D', '2C'] -> 2C - ((B + D) / 3) base 16
[5006] ['3', 'B', 'E', '16'] -> (E - (16 / B)) * 3 base 16
[5007] ['1', '3', '18', '20'] -> ((3 / 18) + 1) * 20 base 16
[5008] ['3', 'B', 'E', '27'] -> ((B + E) * 3) - 27 base 16
[5009] ['3', 'B', 'E', '2E'] -> ((B * E) - 2E) / 3 base 16
[5010] ['3', 'B', 'F', 'F'] -> ((F / F) + B) * 3 base 16
[5011] ['3', 'B', 'F', '1C'] -> ((1C - B) * 3) - F base 16
[5012] ['3', 'B', '10', '10'] -> ((10 / 10) + B) * 3 base 16
[5013] ['3', 'B', '10', '31'] -> ((31 + B) / 3) + 10 base 16
[5014] ['3', 'B', '11', '11'] -> ((11 / 11) + B) * 3 base 16
[5015] ['3', 'B', '11', '2E'] -> ((2E + B) / 3) + 11 base 16
[5016] ['3', 'B', '11', '30'] -> ((11 + B) * 3) - 30 base 16
[5017] ['3', 'B', '12', '12'] -> ((12 / 12) + B) * 3 base 16
[5018] ['1', '1', '6', '21'] -> (6 / (1 + 1)) + 21 base 16
[5019] ['1', '3', '19', '20'] -> ((1 + 20) / 3) + 19 base 16
[5020] ['3', 'B', '12', '1B'] -> (B - (1B / 3)) * 12 base 16
[5021] ['3', 'B', '12', '23'] -> (23 - (3 * B)) * 12 base 16
[5022] ['3', 'B', '12', '27'] -> ((27 / 3) - B) * 12 base 16
[5023] ['3', 'B', '12', '2B'] -> ((2B + B) / 3) + 12 base 16
[5024] ['3', 'B', '13', '13'] -> ((13 / 13) + B) * 3 base 16
[5025] ['3', 'B', '13', '15'] -> ((13 * 15) - 3) / B base 16
[5026] ['3', 'B', '13', '1A'] -> ((13 + B) / 3) + 1A base 16
[5027] ['3', 'B', '13', '22'] -> ((13 + 3) / B) + 22 base 16
[5028] ['3', 'B', '13', '26'] -> 26 - ((13 + 3) / B) base 16
[5029] ['3', 'B', '13', '28'] -> ((28 + B) / 3) + 13 base 16
[5030] ['1', '3', '19', '2A'] -> ((1 + 19) * 3) - 2A base 16
[5031] ['3', 'B', '13', '2E'] -> 2E - ((13 + B) / 3) base 16
[5032] ['3', 'B', '14', '14'] -> ((14 / 14) + B) * 3 base 16
[5033] ['3', 'B', '14', '25'] -> ((25 + B) / 3) + 14 base 16
[5034] ['3', 'B', '15', '15'] -> ((15 / 15) + B) * 3 base 16
[5035] ['3', 'B', '15', '1E'] -> ((1E - B) * 3) - 15 base 16
[5036] ['3', 'B', '15', '21'] -> (3 - (15 / B)) * 21 base 16
[5037] ['3', 'B', '15', '22'] -> ((22 + B) / 3) + 15 base 16
[5038] ['3', 'B', '17', '17'] -> ((17 / 17) + B) * 3 base 16
[5039] ['3', 'B', '17', '1C'] -> ((1C + B) / 3) + 17 base 16
[5040] ['3', 'B', '18', '18'] -> ((18 / 18) + B) * 3 base 16
[5041] ['1', '3', '19', '2F'] -> (19 + 2F) / (3 - 1) base 16
[5042] ['3', 'B', '18', '23'] -> 18 / ((23 / 3) - B) base 16
[5043] ['3', 'B', '1A', '1A'] -> ((1A / 1A) + B) * 3 base 16
[5044] ['3', 'B', '1B', '1B'] -> ((1B / 1B) + B) * 3 base 16
[5045] ['3', 'B', '1B', '1D'] -> (B - (1D / 3)) * 1B base 16
[5046] ['3', 'B', '1B', '20'] -> ((20 - B) * 3) - 1B base 16
[5047] ['3', 'B', '1B', '25'] -> ((25 / 3) - B) * 1B base 16
[5048] ['3', 'B', '1B', '30'] -> ((1B + 30) / 3) + B base 16
[5049] ['3', 'B', '1C', '1C'] -> ((1C / 1C) + B) * 3 base 16
[5050] ['3', 'B', '1C', '22'] -> (1C / (3 + B)) + 22 base 16
[5051] ['3', 'B', '1C', '26'] -> 26 - (1C / (3 + B)) base 16
[5052] ['1', '3', '1A', '1D'] -> ((1 + 1D) / 3) + 1A base 16
[5053] ['3', 'B', '1C', '2F'] -> ((1C + 2F) / 3) + B base 16
[5054] ['3', 'B', '1C', '31'] -> 31 - ((1C + B) / 3) base 16
[5055] ['3', 'B', '1D', '1D'] -> ((1D / 1D) + B) * 3 base 16
[5056] ['3', 'B', '1D', '2E'] -> ((1D + 2E) / 3) + B base 16
[5057] ['3', 'B', '1D', '30'] -> 30 / (B - (1D / 3)) base 16
[5058] ['3', 'B', '1E', '1E'] -> ((1E / 1E) + B) * 3 base 16
[5059] ['3', 'B', '1E', '2D'] -> ((1E + 2D) / 3) + B base 16
[5060] ['3', 'B', '1F', '1F'] -> ((1F / 1F) + B) * 3 base 16
[5061] ['3', 'B', '1F', '2C'] -> ((1F + 2C) / 3) + B base 16
[5062] ['3', 'B', '20', '29'] -> ((29 + 3) / B) + 20 base 16
[5063] ['1', '3', '1A', '23'] -> (1 + 3) * (23 - 1A) base 16
[5064] ['3', 'B', '21', '21'] -> ((21 / 21) + B) * 3 base 16
[5065] ['3', 'B', '22', '22'] -> ((22 / 22) + B) * 3 base 16
[5066] ['3', 'B', '22', '29'] -> ((22 + 29) / 3) + B base 16
[5067] ['3', 'B', '23', '23'] -> ((23 / 23) + B) * 3 base 16
[5068] ['3', 'B', '23', '28'] -> ((23 + 28) / 3) + B base 16
[5069] ['3', 'B', '25', '25'] -> ((25 / 25) + B) * 3 base 16
[5070] ['3', 'B', '25', '2A'] -> ((25 - B) * 3) - 2A base 16
[5071] ['3', 'B', '25', '30'] -> 30 / ((25 / 3) - B) base 16
[5072] ['3', 'B', '26', '26'] -> ((26 / 26) + B) * 3 base 16
[5073] ['3', 'B', '27', '27'] -> ((27 / 27) + B) * 3 base 16
[5074] ['1', '3', '1A', '28'] -> (28 / (1 + 3)) + 1A base 16
[5075] ['3', 'B', '27', '30'] -> ((27 - B) * 3) - 30 base 16
[5076] ['3', 'B', '28', '28'] -> ((28 / 28) + B) * 3 base 16
[5077] ['3', 'B', '29', '29'] -> ((29 / 29) + B) * 3 base 16
[5078] ['3', 'B', '2A', '2A'] -> ((2A / 2A) + B) * 3 base 16
[5079] ['3', 'B', '2A', '2C'] -> ((2A / B) - 3) * 2C base 16
[5080] ['3', 'B', '2B', '2B'] -> ((2B / 2B) + B) * 3 base 16
[5081] ['3', 'B', '2C', '2C'] -> ((2C / 2C) + B) * 3 base 16
[5082] ['3', 'B', '2D', '2D'] -> ((2D / 2D) + B) * 3 base 16
[5083] ['3', 'B', '2E', '2E'] -> ((2E / 2E) + B) * 3 base 16
[5084] ['3', 'B', '2F', '2F'] -> ((2F / 2F) + B) * 3 base 16
[5085] ['1', '3', '1A', '2E'] -> (1A + 2E) / (3 - 1) base 16
[5086] ['3', 'B', '30', '30'] -> ((30 / 30) + B) * 3 base 16
[5087] ['3', 'B', '31', '31'] -> ((31 / 31) + B) * 3 base 16
[5088] ['3', 'C', 'C', '23'] -> C / (C - (23 / 3)) base 16
[5089] ['3', 'C', 'C', '25'] -> C / ((25 / 3) - C) base 16
[5090] ['3', 'C', 'D', '1D'] -> ((1D - D) * 3) - C base 16
[5091] ['3', 'C', 'E', '1C'] -> (3 - (C / 1C)) * E base 16
[5092] ['3', 'C', 'E', '2B'] -> C / ((2B / 3) - E) base 16
[5093] ['3', 'C', 'E', '2C'] -> (C * E) - (2C * 3) base 16
[5094] ['3', 'C', 'F', '14'] -> (3 - (C / 14)) * F base 16
[5095] ['3', 'C', 'F', '28'] -> C / (3 - (28 / F)) base 16
[5096] ['1', '3', '1B', '20'] -> 20 / (1 - (3 / 1B)) base 16
[5097] ['3', 'C', 'F', '29'] -> F / ((29 / C) - 3) base 16
[5098] ['3', 'C', 'F', '2C'] -> C / (F - (2C / 3)) base 16
[5099] ['3', 'C', 'F', '2E'] -> C / ((2E / 3) - F) base 16
[5100] ['3', 'C', '10', '2F'] -> C / (10 - (2F / 3)) base 16
[5101] ['3', 'C', '10', '31'] -> C / ((31 / 3) - 10) base 16
[5102] ['3', 'C', '11', '21'] -> ((21 - 11) * 3) - C base 16
[5103] ['3', 'C', '11', '2D'] -> ((2D + C) / 3) + 11 base 16
[5104] ['3', 'C', '12', '2E'] -> 2E - ((12 + C) / 3) base 16
[5105] ['3', 'C', '12', '30'] -> C / (3 - (30 / 12)) base 16
[5106] ['3', 'C', '13', '23'] -> ((23 - 13) * 3) - C base 16
[5107] ['1', '3', '1B', '2A'] -> ((1B - 1) * 3) - 2A base 16
[5108] ['3', 'C', '13', '27'] -> ((27 + C) / 3) + 13 base 16
[5109] ['3', 'C', '15', '22'] -> ((15 + 3) / C) + 22 base 16
[5110] ['3', 'C', '15', '25'] -> ((25 - 15) * 3) - C base 16
[5111] ['3', 'C', '15', '26'] -> 26 - ((15 + 3) / C) base 16
[5112] ['3', 'C', '15', '2B'] -> 15 / ((2B / C) - 3) base 16
[5113] ['3', 'C', '15', '2F'] -> 2F - ((15 + C) / 3) base 16
[5114] ['3', 'C', '16', '26'] -> ((26 - 16) * 3) - C base 16
[5115] ['3', 'C', '18', '22'] -> 18 / (C - (22 / 3)) base 16
[5116] ['3', 'C', '18', '26'] -> 18 / ((26 / 3) - C) base 16
[5117] ['3', 'C', '18', '2C'] -> 18 / ((2C / C) - 3) base 16
[5118] ['1', '3', '1B', '30'] -> ((1 + 1B) * 3) - 30 base 16
[5119] ['3', 'C', '19', '29'] -> ((29 - 19) * 3) - C base 16
[5120] ['3', 'C', '1B', '20'] -> (C - (20 / 3)) * 1B base 16
[5121] ['3', 'C', '1B', '28'] -> ((28 / 3) - C) * 1B base 16
[5122] ['3', 'C', '1B', '2B'] -> ((2B - 1B) * 3) - C base 16
[5123] ['3', 'C', '1B', '31'] -> 31 - ((1B + C) / 3) base 16
[5124] ['3', 'C', '1D', '2D'] -> ((2D - 1D) * 3) - C base 16
[5125] ['3', 'C', '1F', '2F'] -> ((2F - 1F) * 3) - C base 16
[5126] ['3', 'C', '20', '2D'] -> ((2D + 3) / C) + 20 base 16
[5127] ['3', 'C', '21', '2F'] -> 21 / ((2F / C) - 3) base 16
[5128] ['3', 'C', '21', '31'] -> ((31 - 21) * 3) - C base 16
