[1] ['1', '1', '1', 'C'] -> (1 + 1 + 1) * C base 16
[139] ['10', '14', '15', '25'] -> ((14 * 25) + 10) / 15 base 16
[140] ['10', '14', '15', '2E'] -> ((10 * 2E) + 14) / 15 base 16
[141] ['10', '14', '15', '30'] -> ((14 - 10) * 15) - 30 base 16
[142] ['10', '14', '16', '20'] -> ((16 * 20) + 10) / 14 base 16
[143] ['10', '14', '17', '1F'] -> (10 * 1F) - (14 * 17) base 16
[144] ['10', '14', '18', '1C'] -> ((18 - 14) * 10) - 1C base 16
[145] ['10', '14', '18', '26'] -> 26 - ((10 + 18) / 14) base 16
[146] ['10', '14', '1C', '21'] -> ((14 + 1C) / 10) + 21 base 16
[147] ['10', '14', '1C', '27'] -> 27 - ((14 + 1C) / 10) base 16
[148] ['1', '12', '1B', '2A'] -> ((2A / 12) - 1) * 1B base 16
[149] ['10', '14', '1D', '22'] -> (14 * 1D) - (10 * 22) base 16
[150] ['10', '14', '1F', '2C'] -> ((14 * 1F) - 2C) / 10 base 16
[151] ['10', '14', '20', '2B'] -> ((10 * 2B) + 20) / 14 base 16
[152] ['10', '14', '20', '2F'] -> ((10 * 2F) - 20) / 14 base 16
[153] ['10', '14', '21', '2C'] -> ((10 + 2C) / 14) + 21 base 16
[154] ['10', '14', '23', '2E'] -> (10 * 2E) - (14 * 23) base 16
[155] ['10', '14', '25', '2C'] -> (14 * 25) - (10 * 2C) base 16
[156] ['10', '14', '27', '2C'] -> 27 - ((10 + 2C) / 14) base 16
[157] ['10', '14', '29', '31'] -> (14 * 29) - (10 * 31) base 16
[158] ['10', '14', '2A', '30'] -> ((10 * 2A) + 30) / 14 base 16
[159] ['1', '12', '1C', '1C'] -> ((1C / 1C) + 1) * 12 base 16
[160] ['10', '15', '17', '1A'] -> ((17 - 15) * 1A) - 10 base 16
[161] ['10', '15', '19', '1C'] -> ((19 - 15) * 10) - 1C base 16
[162] ['10', '15', '1A', '1E'] -> ((15 * 1A) + 1E) / 10 base 16
[163] ['10', '15', '1A', '22'] -> ((10 + 1A) / 15) + 22 base 16
[164] ['10', '15', '1A', '26'] -> 26 - ((10 + 1A) / 15) base 16
[165] ['10', '15', '1A', '2C'] -> ((1A - 15) * 10) - 2C base 16
[166] ['10', '15', '1B', '27'] -> 27 - ((15 + 1B) / 10) base 16
[167] ['10', '15', '1C', '31'] -> ((10 * 31) - 1C) / 15 base 16
[168] ['10', '15', '1D', '21'] -> ((15 * 1D) - 21) / 10 base 16
[169] ['10', '15', '20', '2B'] -> ((15 + 2B) / 10) + 20 base 16
[170] ['1', '12', '1C', '20'] -> 1C / ((20 / 12) - 1) base 16
[171] ['10', '15', '21', '2F'] -> ((10 + 2F) / 15) + 21 base 16
[172] ['10', '15', '27', '2F'] -> 27 - ((10 + 2F) / 15) base 16
[173] ['10', '15', '28', '2B'] -> 28 - ((15 + 2B) / 10) base 16
[174] ['10', '16', '17', '1A'] -> ((17 * 1A) - 16) / 10 base 16
[175] ['10', '16', '1A', '21'] -> ((16 + 1A) / 10) + 21 base 16
[176] ['10', '16', '1A', '26'] -> (10 * 26) - (16 * 1A) base 16
[177] ['10', '16', '1A', '27'] -> 27 - ((16 + 1A) / 10) base 16
[178] ['10', '16', '1B', '2C'] -> ((1B - 16) * 10) - 2C base 16
[179] ['10', '16', '1C', '26'] -> 26 - ((10 + 1C) / 16) base 16
[180] ['10', '16', '1C', '28'] -> ((16 * 1C) - 28) / 10 base 16
[181] ['1', '12', '1C', '2A'] -> 12 / ((2A / 1C) - 1) base 16
[182] ['10', '16', '1E', '27'] -> (16 * 1E) - (10 * 27) base 16
[183] ['10', '16', '22', '31'] -> (10 * 31) - (16 * 22) base 16
[184] ['10', '16', '28', '2F'] -> ((10 * 2F) + 28) / 16 base 16
[185] ['10', '17', '17', '2F'] -> ((17 * 17) + 2F) / 10 base 16
[186] ['10', '17', '18', '18'] -> ((17 * 18) + 18) / 10 base 16
[187] ['10', '17', '19', '1A'] -> ((19 - 17) * 1A) - 10 base 16
[188] ['10', '17', '19', '21'] -> ((17 + 19) / 10) + 21 base 16
[189] ['10', '17', '19', '27'] -> 27 - ((17 + 19) / 10) base 16
[190] ['10', '17', '1A', '28'] -> ((17 * 28) + 10) / 1A base 16
[191] ['10', '17', '1B', '1C'] -> ((1B - 17) * 10) - 1C base 16
[192] ['1', '12', '1D', '1D'] -> ((1D / 1D) + 1) * 12 base 16
[193] ['10', '17', '1B', '2D'] -> ((17 * 1B) - 2D) / 10 base 16
[194] ['10', '17', '1C', '1D'] -> ((1C * 1D) + 10) / 17 base 16
[195] ['10', '17', '1C', '26'] -> (17 * 1C) - (10 * 26) base 16
[196] ['10', '17', '1C', '2C'] -> ((1C - 17) * 10) - 2C base 16
