[1] ['i', 'i', '4i', '(1+6i)'] -> ((i / i) - 1+6i) * 4i
[1430] ['(1+5i)', '(3+4i)', '(4+4i)', '(5+i)'] -> ((5+i - 1+5i) * 3+4i) - 4+4i
[1431] ['(1+5i)', '(3+4i)', '(5+i)', '(5+2i)'] -> (1+5i + 5+i) * (5+2i - 3+4i)
[1432] ['(1+5i)', '(3+5i)', '(3+5i)', '5'] -> ((5 - 3+5i) * 1+5i) - 3+5i
[1433] ['(1+5i)', '(3+5i)', '(3+6i)', '(5+i)'] -> ((5+i - 3+6i) * 1+5i) - 3+5i
[1434] ['(1+5i)', '(3+5i)', '(4+i)', '(5+3i)'] -> ((4+i - 1+5i) * 3+5i) - 5+3i
[1435] ['i', '4i', '(4+5i)', '(5+2i)'] -> ((4+5i / i) - 5+2i) * 4i
[1436] ['(1+5i)', '(3+5i)', '(4+5i)', '6'] -> ((6 - 4+5i) * 1+5i) - 3+5i
[1437] ['(1+5i)', '(3+5i)', '(5+i)', '(5+3i)'] -> (1+5i + 5+i) * (5+3i - 3+5i)
[1438] ['(1+5i)', '(3+6i)', '(5+i)', '(5+4i)'] -> (1+5i + 5+i) * (5+4i - 3+6i)
[1439] ['(1+5i)', '(3+6i)', '(5+4i)', '(6+3i)'] -> ((5+4i - 1+5i) * 6+3i) - 3+6i
[1440] ['(1+5i)', '4', '4', '(4+5i)'] -> (4 + 4) * (4+5i - 1+5i)
[1441] ['(1+5i)', '(4+2i)', '(4+4i)', '(4+4i)'] -> (4+2i * 4+4i) - (1+5i * 4+4i)
[1442] ['(1+5i)', '(4+2i)', '(5+i)', '6'] -> (1+5i + 5+i) * (6 - 4+2i)
[1443] ['(1+5i)', '(4+3i)', '(5+i)', '(6+i)'] -> (1+5i + 5+i) * (6+i - 4+3i)
[1444] ['(1+5i)', '(4+3i)', '(5+3i)', '(6+2i)'] -> ((6+2i - 1+5i) * 4+3i) - 5+3i
[1445] ['(1+5i)', '(4+4i)', '(4+4i)', '(5+2i)'] -> ((5+2i - 1+5i) * 4+4i) - 4+4i
[1446] ['2i', '2i', '(2+2i)', '(4+3i)'] -> (2i - (2i * 4+3i)) * 2+2i
[1447] ['i', '5i', '5i', '5'] -> ((i / 5) - 5i) * 5i
[1448] ['(1+5i)', '(4+4i)', '(5+i)', '(6+2i)'] -> (1+5i + 5+i) * (6+2i - 4+4i)
[1449] ['(1+5i)', '(4+5i)', '(5+i)', '(6+3i)'] -> (1+5i + 5+i) * (6+3i - 4+5i)
[1450] ['(1+5i)', '5', '5', '(5+i)'] -> (5+i - (1+5i / 5)) * 5
[1451] ['(1+5i)', '5', '(5+i)', '(5+i)'] -> (5 - (1+5i / 5+i)) * 5+i
[1452] ['(1+5i)', '5', '(5+2i)', '(6+3i)'] -> ((6+3i - 1+5i) * 5+2i) - 5
[1453] ['(1+6i)', '(3+4i)', '(4+4i)', '(5+2i)'] -> ((5+2i - 1+6i) * 3+4i) - 4+4i
[1454] ['(1+6i)', '(3+4i)', '5', '(5+2i)'] -> (1+6i + 5) * (5+2i - 3+4i)
[1455] ['(1+6i)', '(3+5i)', '(4+2i)', '(5+3i)'] -> ((4+2i - 1+6i) * 3+5i) - 5+3i
[1456] ['(1+6i)', '(3+5i)', '5', '(5+3i)'] -> (1+6i + 5) * (5+3i - 3+5i)
[1457] ['(1+6i)', '(3+6i)', '5', '(5+4i)'] -> (1+6i + 5) * (5+4i - 3+6i)
[1458] ['i', '5i', '6i', '6i'] -> (6i * i) - (5i * 6i)
[1459] ['(1+6i)', '(3+6i)', '(6+i)', '(6+3i)'] -> (3+6i * 6+i) - (1+6i * 6+3i)
[1460] ['(1+6i)', '(4+2i)', '5', '6'] -> (1+6i + 5) * (6 - 4+2i)
[1461] ['(1+6i)', '(4+3i)', '(4+4i)', '(4+4i)'] -> (4+3i * 4+4i) - (1+6i * 4+4i)
[1462] ['(1+6i)', '(4+3i)', '5', '(6+i)'] -> (1+6i + 5) * (6+i - 4+3i)
[1463] ['(1+6i)', '(4+3i)', '(5+3i)', '(6+3i)'] -> ((6+3i - 1+6i) * 4+3i) - 5+3i
[1464] ['(1+6i)', '(4+4i)', '(4+4i)', '(5+3i)'] -> ((5+3i - 1+6i) * 4+4i) - 4+4i
[1465] ['(1+6i)', '(4+4i)', '5', '(6+2i)'] -> (1+6i + 5) * (6+2i - 4+4i)
[1466] ['(1+6i)', '(4+5i)', '5', '(6+3i)'] -> (1+6i + 5) * (6+3i - 4+5i)
[1467] ['(1+5i)', '3', '(3+3i)', '(3+6i)'] -> (3 + 3+6i) * (3+3i - 1+5i)
[1468] ['(1+5i)', '(3+i)', '(3+3i)', '(3+5i)'] -> (3+3i - 1+5i) * (3+5i + 3+i)
[1469] ['i', '5i', '6i', '4'] -> 6i / ((5i / 4) - i)
[1470] ['(1+5i)', '(3+i)', '(3+4i)', '(4+5i)'] -> (3+i * 4+5i) - (1+5i * 3+4i)
[1471] ['(1+5i)', '(3+i)', '(3+6i)', '6'] -> ((3+i - 1+5i) * 3+6i) - 6
[1472] ['(1+5i)', '(3+i)', '(4+2i)', '(6+i)'] -> (4+2i * 6+i) - (1+5i * 3+i)
[1473] ['(1+5i)', '(3+2i)', '(3+3i)', '(3+4i)'] -> (3+2i + 3+4i) * (3+3i - 1+5i)
[1474] ['(1+5i)', '(3+2i)', '(4+i)', '(5+3i)'] -> (4+i * 5+3i) - (1+5i * 3+2i)
[1475] ['(1+5i)', '(3+2i)', '5', '(5+i)'] -> (1+5i + 5+i) * (5 - 3+2i)
[1476] ['(1+5i)', '(3+2i)', '(5+i)', '6'] -> (5+i - (1+5i / 3+2i)) * 6
[1477] ['(1+5i)', '(3+3i)', '(3+3i)', '(3+3i)'] -> (3+3i + 3+3i) * (3+3i - 1+5i)
[1478] ['(1+5i)', '(3+3i)', '(3+3i)', '(5+i)'] -> (3+3i * 5+i) - (1+5i * 3+3i)
[1479] ['(1+5i)', '(3+3i)', '(3+3i)', '(6+i)'] -> ((6+i - 1+5i) * 3+3i) - 3+3i
[1480] ['i', '5i', '6i', '(5+4i)'] -> ((5i / i) - 5+4i) * 6i
[1481] ['(1+5i)', '(3+3i)', '(3+4i)', '(3+6i)'] -> (3+3i * 3+4i) - (1+5i * 3+6i)
[1482] ['(1+5i)', '(3+3i)', '(4+2i)', '(4+5i)'] -> ((4+2i - 1+5i) * 4+5i) - 3+3i
[1483] ['(1+5i)', '(3+3i)', '(5+i)', '(5+i)'] -> (1+5i + 5+i) * (5+i - 3+3i)
[1484] ['(1+5i)', '(3+3i)', '6', '6'] -> ((6 - 1+5i) * 3+3i) - 6
[1485] ['(1+6i)', '(2+3i)', '(4+i)', '5'] -> (1+6i + 5) * (4+i - 2+3i)
[1486] ['(1+6i)', '(2+3i)', '(4+3i)', '6'] -> ((6 - 1+6i) * 2+3i) - 4+3i
[1487] ['(1+6i)', '(2+4i)', '(3+4i)', '(4+2i)'] -> (2+4i + 4+2i) * (3+4i - 1+6i)
[1488] ['(1+6i)', '(2+4i)', '4', '6'] -> ((4 - 1+6i) * 2+4i) - 6
[1489] ['(1+6i)', '(2+4i)', '(4+2i)', '5'] -> (1+6i + 5) * (4+2i - 2+4i)
[1490] ['(1+6i)', '(2+4i)', '(4+4i)', '(6+2i)'] -> (2+4i * 6+2i) - (1+6i * 4+4i)
[1491] ['i', '5i', '1', '(1+4i)'] -> (1 - 1+4i) * (5i + i)
[1492] ['(1+6i)', '(2+5i)', '(3+i)', '5'] -> ((3+i - 1+6i) * 2+5i) - 5
[1493] ['(1+6i)', '(2+5i)', '(4+3i)', '5'] -> (1+6i + 5) * (4+3i - 2+5i)
[1494] ['(1+6i)', '(2+6i)', '(3+2i)', '(4+4i)'] -> ((3+2i - 1+6i) * 2+6i) - 4+4i
[1495] ['(1+6i)', '(2+6i)', '(3+4i)', '4'] -> (2+6i + 4) * (3+4i - 1+6i)
[1496] ['(1+6i)', '(2+6i)', '(4+4i)', '5'] -> (1+6i + 5) * (4+4i - 2+6i)
[1497] ['(1+5i)', '(2+i)', '(2+2i)', '(3+5i)'] -> (3+5i - (1+5i * 2+i)) * 2+2i
[1498] ['(1+5i)', '(2+i)', '(2+3i)', '(4+2i)'] -> (2+3i + 2+i) * (4+2i - 1+5i)
[1499] ['(1+5i)', '(2+i)', '(2+6i)', '(3+5i)'] -> ((3+5i / 2+i) - 1+5i) * 2+6i
[1500] ['(1+5i)', '(2+i)', '3', '5'] -> ((2+i + 3) * 5) - 1+5i
[1501] ['(1+5i)', '(2+i)', '(3+i)', '6'] -> ((2+i * 3+i) - 1+5i) * 6
[1502] ['i', '5i', '1', '6'] -> ((5i / i) - 1) * 6
[1503] ['(1+5i)', '(2+i)', '(3+3i)', '(4+5i)'] -> (2+i + 4+5i) * (3+3i - 1+5i)
[1504] ['(1+5i)', '(2+2i)', '(2+2i)', '(4+2i)'] -> (2+2i + 2+2i) * (4+2i - 1+5i)
[1505] ['(1+5i)', '(2+2i)', '(2+4i)', '4'] -> ((4 - 1+5i) * 2+4i) - 2+2i
[1506] ['(1+5i)', '(2+2i)', '(2+4i)', '(5+2i)'] -> (2+2i * 5+2i) - (1+5i * 2+4i)
[1507] ['(1+5i)', '(2+2i)', '(2+6i)', '(3+5i)'] -> (2+2i * 3+5i) - (1+5i * 2+6i)
[1508] ['(1+5i)', '(2+2i)', '(3+i)', '(6+2i)'] -> (3+i * 6+2i) - (1+5i * 2+2i)
[1509] ['(1+5i)', '(2+2i)', '(3+3i)', '(4+4i)'] -> (2+2i + 4+4i) * (3+3i - 1+5i)
[1510] ['(1+5i)', '(2+2i)', '4', '(4+3i)'] -> (4 * 4+3i) - (1+5i * 2+2i)
[1511] ['(1+5i)', '(2+2i)', '4', '(5+i)'] -> (1+5i + 5+i) * (4 - 2+2i)
[1512] ['(1+5i)', '(2+2i)', '(5+3i)', '(5+3i)'] -> ((5+3i - 1+5i) * 5+3i) - 2+2i
[1513] ['i', '5i', '(1+i)', '(1+5i)'] -> (1+i - 1+5i) * (5i + i)
[1514] ['(1+5i)', '(2+2i)', '(5+4i)', '(6+2i)'] -> ((5+4i - 1+5i) * 6+2i) - 2+2i
[1515] ['(1+5i)', '(2+3i)', '(3+3i)', '(4+3i)'] -> (2+3i + 4+3i) * (3+3i - 1+5i)
[1516] ['(1+5i)', '(2+3i)', '(3+3i)', '6'] -> (2+3i * 6) - (1+5i * 3+3i)
[1517] ['(1+6i)', '(2+i)', '(2+3i)', '(4+3i)'] -> (2+3i + 2+i) * (4+3i - 1+6i)
[1518] ['(1+6i)', '(2+i)', '(3+4i)', '(4+5i)'] -> (2+i + 4+5i) * (3+4i - 1+6i)
[1519] ['(1+6i)', '(2+i)', '4', '(4+i)'] -> ((2+i * 4+i) - 1+6i) * 4
[1520] ['(1+6i)', '(2+2i)', '(2+2i)', '(4+3i)'] -> (2+2i + 2+2i) * (4+3i - 1+6i)
[1521] ['(1+6i)', '(2+2i)', '(2+3i)', '(2+3i)'] -> (1+6i - (2+3i * 2+3i)) * 2+2i
[1522] ['(1+6i)', '(2+2i)', '(2+4i)', '(4+i)'] -> ((4+i - 1+6i) * 2+4i) - 2+2i
[1523] ['(1+6i)', '(2+2i)', '(3+4i)', '(4+4i)'] -> (2+2i + 4+4i) * (3+4i - 1+6i)
[1524] ['i', '5i', '(1+2i)', '(1+6i)'] -> (1+2i - 1+6i) * (5i + i)
[1525] ['(1+6i)', '(2+2i)', '4', '5'] -> (1+6i + 5) * (4 - 2+2i)
[1526] ['(1+6i)', '(2+2i)', '(5+3i)', '(5+4i)'] -> ((5+4i - 1+6i) * 5+3i) - 2+2i
[1527] ['(1+6i)', '(2+3i)', '(2+4i)', '(4+2i)'] -> (2+3i * 4+2i) - (1+6i * 2+4i)
[1528] ['(1+6i)', '(2+3i)', '(3+4i)', '(4+3i)'] -> (2+3i + 4+3i) * (3+4i - 1+6i)
[1529] ['(1+6i)', '(5+4i)', '6', '(6+3i)'] -> ((5+4i - 1+6i) * 6+3i) - 6
[1530] ['2', '2', '2', '5'] -> ((2 * 5) + 2) * 2
[1531] ['2', '2', '3', '5'] -> ((2 * 5) - 2) * 3
[1532] ['2', '(2+i)', '(5+i)', '6'] -> (2 + 6) * (5+i - 2+i)
[1533] ['2', '(2+2i)', '(2+6i)', '4'] -> ((2 * 4) - 2+6i) * 2+2i
[1534] ['(1+6i)', '3', '3', '(3+2i)'] -> ((3 * 3+2i) - 1+6i) * 3
[1535] ['i', '5i', '(1+3i)', '(4+5i)'] -> 4+5i - ((1+3i + i) * 5i)
[1536] ['(1+6i)', '3', '(3+4i)', '(3+6i)'] -> (3 + 3+6i) * (3+4i - 1+6i)
[1537] ['(1+6i)', '(3+i)', '(3+4i)', '(3+5i)'] -> (3+4i - 1+6i) * (3+5i + 3+i)
[1538] ['(1+6i)', '(3+2i)', '(3+4i)', '(3+4i)'] -> (3+2i + 3+4i) * (3+4i - 1+6i)
[1539] ['(1+6i)', '(3+2i)', '(3+4i)', '5'] -> (3+4i * 5) - (1+6i * 3+2i)
[1540] ['(1+6i)', '(3+2i)', '(3+6i)', '6'] -> ((3+2i - 1+6i) * 3+6i) - 6
[1541] ['(1+6i)', '(3+2i)', '5', '5'] -> (1+6i + 5) * (5 - 3+2i)
[1542] ['(1+6i)', '(3+3i)', '(3+3i)', '(3+4i)'] -> (3+3i + 3+3i) * (3+4i - 1+6i)
[1543] ['(1+6i)', '(3+3i)', '(3+3i)', '(5+2i)'] -> (3+3i * 5+2i) - (1+6i * 3+3i)
[1544] ['(1+6i)', '(3+3i)', '(3+3i)', '(6+2i)'] -> ((6+2i - 1+6i) * 3+3i) - 3+3i
[1545] ['(1+6i)', '(3+3i)', '(4+3i)', '(4+5i)'] -> ((4+3i - 1+6i) * 4+5i) - 3+3i
[1546] ['i', '5i', '(1+4i)', '(3+3i)'] -> ((5i / i) - 1+4i) * 3+3i
[1547] ['(1+6i)', '(3+3i)', '5', '(5+i)'] -> (1+6i + 5) * (5+i - 3+3i)
[1548] ['(1+6i)', '(3+3i)', '6', '(6+i)'] -> ((6+i - 1+6i) * 3+3i) - 6
[1549] ['2', '(2+6i)', '3', '(5+3i)'] -> ((2 * 5+3i) - 2+6i) * 3
[1550] ['2', '(2+6i)', '(3+i)', '(3+3i)'] -> ((2 * 3+i) - 2+6i) * 3+3i
[1551] ['2', '(2+6i)', '(3+3i)', '6'] -> ((2 * 3+3i) - 2+6i) * 6
[1552] ['2', '(2+6i)', '4', '(4+3i)'] -> ((2 * 4+3i) - 2+6i) * 4
[1553] ['2', '(2+6i)', '(5+3i)', '6'] -> (5+3i - (2+6i / 2)) * 6
[1554] ['2', '3', '(3+3i)', '(4+4i)'] -> ((2 * 3) - 3+3i) * 4+4i
[1555] ['2', '3', '(3+3i)', '(5+i)'] -> ((3 * 5+i) - 3+3i) * 2
[1556] ['2', '3', '(3+6i)', '(5+2i)'] -> ((3 * 5+2i) - 3+6i) * 2
[1557] ['2i', '2i', '(2+6i)', '(4+4i)'] -> ((2+6i / 2i) - 2i) * 4+4i
[1558] ['i', '5i', '(1+6i)', '(2+2i)'] -> ((1+6i / i) - 5i) * 2+2i
[1559] ['2', '3', '(4+2i)', '(6+i)'] -> ((2 * 6+i) - 4+2i) * 3
[1560] ['2', '3', '(4+4i)', '(6+2i)'] -> ((2 * 6+2i) - 4+4i) * 3
[1561] ['2', '3', '(6+i)', '(6+3i)'] -> ((3 * 6+i) - 6+3i) * 2
[1562] ['2', '(3+i)', '(3+5i)', '(4+4i)'] -> ((2 * 3+i) - 3+5i) * 4+4i
[1563] ['2', '(3+i)', '(3+5i)', '5'] -> ((3+i * 5) - 3+5i) * 2
[1564] ['2', '(3+i)', '6', '(6+i)'] -> (2 + 6) * (6+i - 3+i)
[1565] ['2', '(4+2i)', '(4+4i)', '6'] -> ((2 * 4+2i) - 4+4i) * 6
[1566] ['2', '(4+2i)', '6', '(6+i)'] -> (6+i - (4+2i / 2)) * 6
[1567] ['2', '(4+4i)', '6', '(6+2i)'] -> (6+2i - (4+4i / 2)) * 6
[1568] ['2', '(5+i)', '6', '(6+2i)'] -> ((2 * 5+i) - 6+2i) * 6
[1569] ['i', '5i', '2', '(2+4i)'] -> (2 - 2+4i) * (5i + i)
[1570] ['2', '6', '(6+i)', '(6+3i)'] -> (6 * 6+i) - (2 * 6+3i)
[1571] ['(2+i)', '(2+i)', '3', '6'] -> ((2+i / 2+i) + 3) * 6
[1572] ['(2+i)', '(2+i)', '4', '5'] -> ((2+i / 2+i) + 5) * 4
[1573] ['(2+i)', '(2+i)', '(4+4i)', '(6+i)'] -> (6+i - (2+i * 2+i)) * 4+4i
[1574] ['(2+i)', '(2+i)', '5', '5'] -> (5 * 5) - (2+i / 2+i)
[1575] ['2', '(2+2i)', '3', '(5+i)'] -> ((2 * 5+i) - 2+2i) * 3
[1576] ['2', '(2+2i)', '(3+i)', '6'] -> ((2 * 3+i) - 2+2i) * 6
[1577] ['2', '(2+2i)', '4', '(4+i)'] -> ((2 * 4+i) - 2+2i) * 4
[1578] ['2', '(2+2i)', '(5+i)', '6'] -> (5+i - (2+2i / 2)) * 6
[1579] ['2', '(2+2i)', '(5+2i)', '6'] -> (2 + 6) * (5+2i - 2+2i)
[1580] ['i', '5i', '(2+i)', '(2+5i)'] -> (2+i - 2+5i) * (5i + i)
[1581] ['2', '(2+3i)', '(2+4i)', '5'] -> (2 + 2+4i) * (5 - 2+3i)
[1582] ['2', '(2+3i)', '(2+6i)', '6'] -> ((6 - 2+6i) * 2+3i) - 2
[1583] ['2', '(2+3i)', '(5+3i)', '6'] -> (2 + 6) * (5+3i - 2+3i)
[1584] ['2', '(2+4i)', '(2+4i)', '(5+i)'] -> (2 + 2+4i) * (5+i - 2+4i)
[1585] ['2', '(2+4i)', '(2+5i)', '(5+2i)'] -> (2 + 2+4i) * (5+2i - 2+5i)
[1586] ['2', '(2+4i)', '(2+6i)', '(5+3i)'] -> (2 + 2+4i) * (5+3i - 2+6i)
[1587] ['2', '(2+4i)', '3', '(3+3i)'] -> ((2 * 3) - 2+4i) * 3+3i
[1588] ['2', '(2+4i)', '3', '(5+2i)'] -> ((2 * 5+2i) - 2+4i) * 3
[1589] ['2', '(2+4i)', '(3+2i)', '6'] -> ((2 * 3+2i) - 2+4i) * 6
[1590] ['2', '(2+4i)', '(3+3i)', '6'] -> (2 + 2+4i) * (6 - 3+3i)
[1591] ['i', '5i', '(2+2i)', '(2+6i)'] -> (2+2i - 2+6i) * (5i + i)
[1592] ['2', '(2+4i)', '(3+4i)', '(6+i)'] -> (2 + 2+4i) * (6+i - 3+4i)
[1593] ['2', '(2+4i)', '(3+5i)', '(6+2i)'] -> (2 + 2+4i) * (6+2i - 3+5i)
[1594] ['2', '(2+4i)', '(3+6i)', '(6+3i)'] -> (2 + 2+4i) * (6+3i - 3+6i)
[1595] ['2', '(2+4i)', '4', '(4+2i)'] -> ((2 * 4+2i) - 2+4i) * 4
[1596] ['2', '(2+4i)', '(5+2i)', '6'] -> (5+2i - (2+4i / 2)) * 6
[1597] ['2', '(2+4i)', '(5+4i)', '6'] -> (2 + 6) * (5+4i - 2+4i)
[1598] ['2', '(3+2i)', '6', '(6+2i)'] -> (2 + 6) * (6+2i - 3+2i)
[1599] ['2', '(3+3i)', '(5+i)', '6'] -> (5+i * 6) - (2 * 3+3i)
[1600] ['2', '(3+3i)', '6', '(6+3i)'] -> (2 + 6) * (6+3i - 3+3i)
[1601] ['2', '(3+5i)', '5', '(6+2i)'] -> (5 * 6+2i) - (2 * 3+5i)
[1602] ['i', '5i', '(2+3i)', '(4+4i)'] -> ((5i / i) - 2+3i) * 4+4i
[1603] ['2', '(3+6i)', '(5+2i)', '6'] -> (5+2i * 6) - (2 * 3+6i)
[1604] ['2', '4', '(4+i)', '(4+4i)'] -> ((4 * 4+i) - 4+4i) * 2
[1605] ['2', '4', '(4+2i)', '(5+i)'] -> ((2 * 5+i) - 4+2i) * 4
[1606] ['2', '4', '(4+4i)', '(5+i)'] -> ((2 + 5+i) * 4) - 4+4i
[1607] ['2', '4', '(4+4i)', '(5+2i)'] -> ((2 * 5+2i) - 4+4i) * 4
[1608] ['2', '4', '(4+4i)', '(5+3i)'] -> ((2 * 4) - 5+3i) * 4+4i
[1609] ['2', '4', '5', '5'] -> ((5 + 5) * 2) + 4
[1610] ['2', '4', '(6+i)', '(6+2i)'] -> ((2 * 6+i) - 6+2i) * 4
[1611] ['2', '(4+i)', '(4+2i)', '6'] -> ((2 * 4+i) - 4+2i) * 6
[1612] ['(2+i)', '(4+2i)', '(4+5i)', '6'] -> (2+i + 4+5i) * (6 - 4+2i)
[1613] ['i', '5i', '3', '(3+4i)'] -> (3 - 3+4i) * (5i + i)
[1614] ['(2+i)', '(4+3i)', '(4+5i)', '(6+i)'] -> (2+i + 4+5i) * (6+i - 4+3i)
[1615] ['(2+i)', '(4+4i)', '(4+5i)', '(6+2i)'] -> (2+i + 4+5i) * (6+2i - 4+4i)
[1616] ['(2+i)', '(4+5i)', '(4+5i)', '(6+3i)'] -> (2+i + 4+5i) * (6+3i - 4+5i)
[1617] ['(2+i)', '6', '6', '(6+i)'] -> (6 * 6+i) - (2+i * 6)
[1618] ['(2+2i)', '(2+2i)', '(2+2i)', '(6+2i)'] -> (6+2i - (2+2i * 2+2i)) * 2+2i
[1619] ['(2+2i)', '(2+2i)', '(2+3i)', '(4+4i)'] -> (4+4i - (2+2i * 2+3i)) * 2+2i
[1620] ['(2+2i)', '(2+2i)', '(2+3i)', '5'] -> (2+2i + 2+2i) * (5 - 2+3i)
[1621] ['(2+2i)', '(2+2i)', '(2+4i)', '(2+6i)'] -> (2+6i - (2+2i * 2+4i)) * 2+2i
[1622] ['(2+2i)', '(2+2i)', '(2+4i)', '(5+i)'] -> (2+2i + 2+2i) * (5+i - 2+4i)
[1623] ['(2+2i)', '(2+2i)', '(2+5i)', '(5+2i)'] -> (2+2i + 2+2i) * (5+2i - 2+5i)
[1624] ['i', '5i', '(3+i)', '(3+5i)'] -> (3+i - 3+5i) * (5i + i)
[1625] ['(2+2i)', '(2+2i)', '(2+6i)', '(5+3i)'] -> (2+2i + 2+2i) * (5+3i - 2+6i)
[1626] ['(2+2i)', '(2+2i)', '3', '6'] -> ((2+2i / 2+2i) + 3) * 6
[1627] ['(2+2i)', '(2+2i)', '(3+3i)', '(4+4i)'] -> (4+4i - (2+2i * 2+2i)) * 3+3i
[1628] ['(2+2i)', '(2+2i)', '(3+3i)', '6'] -> (2+2i + 2+2i) * (6 - 3+3i)
[1629] ['(2+2i)', '(2+2i)', '(3+4i)', '(6+i)'] -> (2+2i + 2+2i) * (6+i - 3+4i)
[1630] ['(2+2i)', '(2+2i)', '(3+5i)', '(4+4i)'] -> (3+5i - (2+2i * 2+2i)) * 4+4i
[1631] ['(2+2i)', '(2+2i)', '(3+5i)', '(6+2i)'] -> (2+2i + 2+2i) * (6+2i - 3+5i)
[1632] ['(2+2i)', '(2+2i)', '(3+6i)', '(6+3i)'] -> (2+2i + 2+2i) * (6+3i - 3+6i)
[1633] ['(2+2i)', '(2+2i)', '4', '(4+4i)'] -> (2+2i + 4+4i) * (4 - 2+2i)
[1634] ['(2+2i)', '(2+2i)', '4', '5'] -> ((2+2i / 2+2i) + 5) * 4
[1635] ['i', '5i', '(3+2i)', '(3+6i)'] -> (3+2i - 3+6i) * (5i + i)
[1636] ['(2+2i)', '(2+2i)', '4', '(6+2i)'] -> (4 * 6+2i) - (2+2i * 2+2i)
[1637] ['(2+2i)', '(2+2i)', '5', '5'] -> (5 * 5) - (2+2i / 2+2i)
[1638] ['(2+2i)', '(2+2i)', '5', '6'] -> (5 - (2+2i / 2+2i)) * 6
[1639] ['(2+2i)', '(2+2i)', '(5+3i)', '6'] -> ((6 - 2+2i) * 5+3i) - 2+2i
[1640] ['(2+2i)', '(2+2i)', '(6+i)', '(6+2i)'] -> ((6+i - 2+2i) * 6+2i) - 2+2i
[1641] ['(2+i)', '(2+2i)', '(3+3i)', '(6+2i)'] -> (6+2i - (2+2i * 2+i)) * 3+3i
[1642] ['(2+i)', '(2+2i)', '4', '(4+5i)'] -> (2+i + 4+5i) * (4 - 2+2i)
[1643] ['(2+i)', '(2+2i)', '(4+4i)', '(5+3i)'] -> (5+3i - (2+2i * 2+i)) * 4+4i
[1644] ['(2+i)', '(2+3i)', '(2+3i)', '5'] -> (2+3i + 2+i) * (5 - 2+3i)
[1645] ['(2+i)', '(2+3i)', '(2+4i)', '(5+i)'] -> (2+3i + 2+i) * (5+i - 2+4i)
[1646] ['i', '5i', '(3+2i)', '(4+i)'] -> (3+2i + i) * (4+i - 5i)
[1647] ['(2+i)', '(2+3i)', '(2+5i)', '(5+2i)'] -> (2+3i + 2+i) * (5+2i - 2+5i)
[1648] ['(2+i)', '(2+3i)', '(2+6i)', '(5+3i)'] -> (2+3i + 2+i) * (5+3i - 2+6i)
[1649] ['(2+i)', '(2+3i)', '3', '6'] -> ((2+i * 3) - 2+3i) * 6
[1650] ['(2+i)', '(2+3i)', '(3+3i)', '(5+4i)'] -> (5+4i - (2+3i * 2+i)) * 3+3i
[1651] ['(2+i)', '(2+3i)', '(3+3i)', '6'] -> (2+3i + 2+i) * (6 - 3+3i)
[1652] ['(2+i)', '(2+3i)', '(3+4i)', '(6+i)'] -> (2+3i + 2+i) * (6+i - 3+4i)
[1653] ['(2+i)', '(2+3i)', '(3+5i)', '(6+2i)'] -> (2+3i + 2+i) * (6+2i - 3+5i)
[1654] ['(2+i)', '(2+3i)', '(3+6i)', '(6+3i)'] -> (2+3i + 2+i) * (6+3i - 3+6i)
[1655] ['(2+i)', '(2+3i)', '(4+i)', '(4+5i)'] -> (2+i + 4+5i) * (4+i - 2+3i)
[1656] ['(2+i)', '(2+3i)', '(4+4i)', '(4+5i)'] -> (4+5i - (2+3i * 2+i)) * 4+4i
[1657] ['i', '5i', '(3+2i)', '(4+3i)'] -> (3+2i - 5i) * (4+3i + i)
[1658] ['(2+i)', '(2+4i)', '4', '4'] -> ((2+i * 4) - 2+4i) * 4
[1659] ['(2+i)', '(2+4i)', '(4+2i)', '(4+5i)'] -> (2+i + 4+5i) * (4+2i - 2+4i)
[1660] ['(2+i)', '(2+4i)', '(5+i)', '(5+i)'] -> (5+i * 5+i) - (2+4i * 2+i)
[1661] ['(2+i)', '(2+5i)', '3', '5'] -> ((2+i * 5) - 2+5i) * 3
[1662] ['(2+i)', '(2+5i)', '(4+3i)', '(4+5i)'] -> (2+i + 4+5i) * (4+3i - 2+5i)
[1663] ['(2+i)', '(2+5i)', '5', '(6+3i)'] -> (5 - (2+5i / 2+i)) * 6+3i
[1664] ['(2+i)', '(2+6i)', '(4+i)', '(6+2i)'] -> (4+i * 6+2i) - (2+6i * 2+i)
[1665] ['(2+i)', '(2+6i)', '(4+4i)', '(4+5i)'] -> (2+i + 4+5i) * (4+4i - 2+6i)
[1666] ['(2+i)', '(2+6i)', '6', '(6+2i)'] -> (6+2i - (2+6i / 2+i)) * 6
[1667] ['(2+i)', '3', '3', '(6+i)'] -> (3 + 3) * (6+i - 2+i)
[1668] ['2i', '2i', '3', '(3+6i)'] -> (2i + 2i) * (3 - 3+6i)
[1669] ['i', '5i', '4', '(4+4i)'] -> (4 - 4+4i) * (5i + i)
[1670] ['(2+i)', '3', '(3+6i)', '(4+4i)'] -> ((2+i * 3) - 3+6i) * 4+4i
[1671] ['(2+i)', '3', '4', '(6+3i)'] -> ((6+3i / 2+i) + 3) * 4
[1672] ['(2+i)', '3', '(4+2i)', '6'] -> ((4+2i / 2+i) + 6) * 3
[1673] ['(2+i)', '3', '5', '(6+i)'] -> ((5 / 2+i) + 6+i) * 3
