[1] ['i', 'i', '4i', '(1+6i)'] -> ((i / i) - 1+6i) * 4i
[128] ['4i', '(2+2i)', '(3+i)', '(3+5i)'] -> (2+2i - 4i) * (3+5i + 3+i)
[129] ['4i', '(2+2i)', '(3+i)', '(4+2i)'] -> (4+2i - (2+2i * 3+i)) * 4i
[130] ['4i', '(2+2i)', '(3+2i)', '(3+4i)'] -> (2+2i - 4i) * (3+2i + 3+4i)
[131] ['4i', '(2+2i)', '(3+3i)', '(3+6i)'] -> (2+2i * 3+3i) - (3+6i * 4i)
[132] ['4i', '(2+2i)', '(3+3i)', '6'] -> (2+2i * 6) - (3+3i * 4i)
[133] ['4i', '(2+2i)', '(3+4i)', '(5+i)'] -> (2+2i * 5+i) - (3+4i * 4i)
[134] ['4i', '(2+2i)', '(3+5i)', '(4+2i)'] -> (2+2i * 4+2i) - (3+5i * 4i)
[135] ['4i', '(2+2i)', '4', '(6+2i)'] -> (4 - 2+2i) * (4i + 6+2i)
[136] ['i', '(2+4i)', '(3+2i)', '6'] -> (3+2i + i) * (6 - 2+4i)
[137] ['4i', '(2+2i)', '(4+2i)', '(5+3i)'] -> ((4+2i - 4i) * 5+3i) - 2+2i
[138] ['4i', '(2+2i)', '(4+3i)', '(6+2i)'] -> ((4+3i - 4i) * 6+2i) - 2+2i
[139] ['4i', '(2+2i)', '(4+4i)', '(6+2i)'] -> (2+2i * 6+2i) - (4+4i * 4i)
[140] ['4i', '(2+2i)', '(4+5i)', '(5+3i)'] -> (2+2i * 5+3i) - (4+5i * 4i)
[141] ['4i', '(2+2i)', '(5+i)', '6'] -> (5+i - (4i / 2+2i)) * 6
[142] ['4i', '(2+2i)', '(6+i)', '(6+2i)'] -> ((6+2i - 2+2i) * 6+i) - 4i
[143] ['4i', '(2+3i)', '3', '(6+3i)'] -> (6+3i - (2+3i * 3)) * 4i
[144] ['4i', '(2+3i)', '(3+i)', '(3+5i)'] -> (3+5i - (2+3i * 3+i)) * 4i
