[1] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8
[199] ['15', '21', '34', '37'] -> ((37 - 34) * 15) - 21
[200] ['15', '23', '25', '33'] -> (15 + 33) / (25 - 23)
[201] ['15', '23', '26', '31'] -> 26 - ((15 + 31) / 23)
[202] ['15', '23', '28', '37'] -> 28 - ((23 + 37) / 15)
[203] ['1', '15', '34', '36'] -> 34 / ((15 / 36) + 1)
[204] ['15', '23', '31', '33'] -> ((23 * 33) - 15) / 31
[205] ['15', '23', '33', '39'] -> ((15 * 39) - 33) / 23
[206] ['15', '23', '34', '42'] -> ((15 * 34) + 42) / 23
[207] ['15', '23', '38', '39'] -> ((23 * 39) + 15) / 38
[208] ['15', '19', '29', '46'] -> ((29 + 46) / 15) + 19
[209] ['15', '19', '31', '44'] -> ((31 + 44) / 15) + 19
[210] ['15', '19', '32', '43'] -> ((32 + 43) / 15) + 19
[211] ['15', '19', '33', '42'] -> ((33 + 42) / 15) + 19
[212] ['15', '19', '34', '41'] -> ((34 + 41) / 15) + 19
[213] ['15', '19', '35', '40'] -> ((35 + 40) / 15) + 19
[214] ['1', '15', '35', '42'] -> (1 - (15 / 35)) * 42
[215] ['15', '19', '36', '44'] -> (19 * 36) - (15 * 44)
[216] ['15', '19', '47', '49'] -> (47 + 49) / (19 - 15)
[217] ['15', '19', '48', '48'] -> (48 + 48) / (19 - 15)
[218] ['15', '20', '21', '23'] -> ((23 - 20) * 15) - 21
[219] ['15', '20', '21', '45'] -> ((15 + 45) / 20) + 21
[220] ['15', '20', '22', '38'] -> ((22 + 38) / 15) + 20
[221] ['15', '20', '23', '37'] -> ((23 + 37) / 15) + 20
[222] ['15', '20', '26', '34'] -> ((26 + 34) / 15) + 20
[223] ['15', '20', '27', '33'] -> ((27 + 33) / 15) + 20
[224] ['15', '20', '28', '32'] -> ((28 + 32) / 15) + 20
[225] ['1', '1', '12', '48'] -> 48 - ((1 + 1) * 12)
[226] ['1', '15', '39', '39'] -> (1 - (15 / 39)) * 39
[227] ['15', '20', '28', '40'] -> 28 - ((20 + 40) / 15)
[228] ['15', '20', '29', '31'] -> ((29 + 31) / 15) + 20
[229] ['15', '20', '29', '45'] -> ((15 * 29) + 45) / 20
[230] ['15', '24', '39', '41'] -> ((15 * 41) - 39) / 24
[231] ['15', '25', '26', '35'] -> 26 - ((15 + 35) / 25)
[232] ['15', '25', '27', '33'] -> (15 + 33) / (27 - 25)
[233] ['15', '25', '28', '35'] -> 28 - ((25 + 35) / 15)
[234] ['15', '25', '30', '38'] -> ((15 * 38) + 30) / 25
[235] ['15', '25', '33', '35'] -> ((25 * 33) + 15) / 35
[236] ['15', '25', '37', '45'] -> ((15 * 37) + 45) / 25
