[124] ['15', '30', '30', '46'] -> ((15 * 46) + 30) / 30
[125] ['15', '30', '41', '49'] -> 30 - ((41 + 49) / 15)
[126] ['15', '30', '42', '48'] -> 30 - ((42 + 48) / 15)
[127] ['15', '30', '43', '47'] -> 30 - ((43 + 47) / 15)
[128] ['15', '31', '33', '42'] -> ((31 * 33) - 15) / 42
[129] ['15', '32', '33', '49'] -> ((15 * 49) + 33) / 32
[130] ['15', '32', '48', '48'] -> ((15 * 48) + 48) / 32
[131] ['15', '33', '33', '46'] -> ((33 * 33) + 15) / 46
[132] ['16', '17', '25', '41'] -> ((17 * 25) - 41) / 16
[133] ['16', '17', '28', '40'] -> ((16 * 28) - 40) / 17
[134] ['16', '17', '29', '40'] -> ((17 * 40) + 16) / 29
[135] ['16', '17', '40', '41'] -> (17 * 40) - (16 * 41)
[136] ['16', '17', '40', '44'] -> (16 * 44) - (17 * 40)
[137] ['16', '18', '19', '42'] -> ((18 * 19) + 42) / 16
[138] ['16', '18', '20', '21'] -> (18 * 20) - (16 * 21)
[139] ['16', '18', '23', '30'] -> ((18 * 23) - 30) / 16
[140] ['16', '18', '25', '32'] -> ((16 * 25) + 32) / 18
[141] ['16', '18', '29', '32'] -> ((16 * 29) - 32) / 18
[142] ['16', '18', '47', '49'] -> ((47 + 49) / 16) + 18
[143] ['16', '19', '19', '23'] -> ((19 * 19) + 23) / 16
[144] ['16', '19', '20', '22'] -> ((20 * 22) + 16) / 19
[145] ['16', '19', '22', '34'] -> ((19 * 22) - 34) / 16
[146] ['17', '17', '26', '34'] -> ((17 * 26) - 34) / 17
[147] ['17', '17', '34', '47'] -> ((17 * 47) + 17) / 34
[148] ['17', '17', '34', '49'] -> ((17 * 49) - 17) / 34
[149] ['17', '18', '20', '48'] -> ((18 * 20) + 48) / 17
[150] ['17', '18', '21', '30'] -> ((18 * 21) + 30) / 17
[151] ['16', '20', '26', '31'] -> (20 * 26) - (16 * 31)
[152] ['16', '20', '27', '48'] -> ((16 * 27) + 48) / 20
[153] ['16', '20', '29', '34'] -> ((20 * 34) + 16) / 29
[154] ['16', '20', '30', '39'] -> (16 * 39) - (20 * 30)
[155] ['16', '20', '31', '38'] -> ((20 * 38) - 16) / 31
[156] ['16', '20', '33', '48'] -> ((16 * 33) - 48) / 20
[157] ['16', '20', '34', '41'] -> (20 * 34) - (16 * 41)
[158] ['16', '20', '34', '44'] -> (16 * 44) - (20 * 34)
[159] ['16', '20', '38', '46'] -> (20 * 38) - (16 * 46)
[160] ['16', '20', '38', '49'] -> (16 * 49) - (20 * 38)
[161] ['16', '20', '48', '48'] -> (48 + 48) / (20 - 16)
[162] ['17', '17', '17', '23'] -> ((17 * 23) + 17) / 17
[163] ['17', '17', '17', '25'] -> ((17 * 25) - 17) / 17
[164] ['17', '17', '22', '34'] -> ((17 * 22) + 34) / 17
[165] ['16', '19', '23', '49'] -> (23 + 49) / (19 - 16)
[166] ['16', '19', '25', '47'] -> (25 + 47) / (19 - 16)
[167] ['16', '19', '26', '32'] -> ((19 * 32) + 16) / 26
[168] ['16', '19', '26', '40'] -> ((16 * 26) + 40) / 19
[169] ['16', '19', '26', '46'] -> (26 + 46) / (19 - 16)
[170] ['16', '19', '27', '45'] -> (27 + 45) / (19 - 16)
[171] ['16', '19', '28', '44'] -> (28 + 44) / (19 - 16)
[172] ['16', '19', '29', '43'] -> (29 + 43) / (19 - 16)
[173] ['16', '19', '30', '42'] -> (30 + 42) / (19 - 16)
[174] ['16', '19', '31', '41'] -> (31 + 41) / (19 - 16)
[175] ['16', '19', '31', '49'] -> ((31 + 49) / 16) + 19
[176] ['16', '19', '32', '48'] -> ((32 + 48) / 16) + 19
[177] ['16', '19', '33', '39'] -> (33 + 39) / (19 - 16)
[178] ['16', '19', '33', '47'] -> ((33 + 47) / 16) + 19
[179] ['16', '19', '34', '38'] -> (34 + 38) / (19 - 16)
[180] ['16', '19', '34', '46'] -> ((34 + 46) / 16) + 19
[181] ['16', '19', '35', '37'] -> (35 + 37) / (19 - 16)
[182] ['16', '19', '35', '45'] -> ((35 + 45) / 16) + 19
[183] ['16', '19', '37', '43'] -> ((37 + 43) / 16) + 19
[184] ['16', '19', '39', '41'] -> ((39 + 41) / 16) + 19
[185] ['16', '19', '40', '40'] -> ((40 + 40) / 16) + 19
[186] ['16', '19', '40', '46'] -> (19 * 40) - (16 * 46)
[187] ['16', '19', '40', '49'] -> (16 * 49) - (19 * 40)
[188] ['16', '20', '21', '26'] -> ((20 * 26) - 16) / 21
[189] ['16', '20', '22', '29'] -> (16 * 29) - (20 * 22)
[190] ['16', '24', '32', '38'] -> ((16 * 38) - 32) / 24
[191] ['16', '24', '39', '48'] -> ((16 * 39) - 48) / 24
[192] ['16', '21', '29', '40'] -> ((16 * 29) + 40) / 21
[193] ['16', '21', '34', '40'] -> ((16 * 34) - 40) / 21
[194] ['16', '22', '25', '28'] -> ((22 * 28) - 16) / 25
[195] ['16', '22', '28', '37'] -> (22 * 28) - (16 * 37)
[196] ['16', '22', '31', '32'] -> ((16 * 31) + 32) / 22
[197] ['16', '22', '41', '44'] -> ((22 * 44) + 16) / 41
[198] ['16', '23', '30', '32'] -> ((23 * 32) - 16) / 30
[199] ['16', '23', '32', '40'] -> ((16 * 32) + 40) / 23
[200] ['16', '23', '39', '40'] -> ((23 * 40) + 16) / 39
[201] ['16', '26', '44', '47'] -> ((26 * 44) - 16) / 47
[202] ['16', '27', '38', '40'] -> ((16 * 38) + 40) / 27
[203] ['16', '27', '40', '43'] -> ((16 * 43) - 40) / 27
[204] ['16', '28', '34', '39'] -> ((28 * 34) - 16) / 39
[205] ['16', '28', '38', '45'] -> ((28 * 38) + 16) / 45
[206] ['16', '28', '39', '48'] -> ((16 * 39) + 48) / 28
[207] ['16', '25', '32', '34'] -> ((25 * 32) + 16) / 34
[208] ['16', '25', '40', '40'] -> ((16 * 40) - 40) / 25
[209] ['16', '25', '40', '41'] -> ((25 * 40) - 16) / 41
[210] ['16', '26', '28', '31'] -> ((26 * 28) + 16) / 31
[211] ['16', '26', '28', '44'] -> (26 * 28) - (16 * 44)
[212] ['16', '26', '28', '47'] -> (16 * 47) - (26 * 28)
[213] ['16', '26', '32', '41'] -> ((16 * 41) - 32) / 26
[214] ['16', '26', '42', '48'] -> ((16 * 42) - 48) / 26
[215] ['16', '28', '45', '48'] -> ((16 * 45) - 48) / 28
[216] ['16', '29', '31', '49'] -> 29 - ((31 + 49) / 16)
[217] ['16', '29', '32', '38'] -> ((29 * 32) - 16) / 38
[218] ['16', '29', '32', '48'] -> 29 - ((32 + 48) / 16)
[219] ['16', '29', '33', '47'] -> 29 - ((33 + 47) / 16)
[220] ['16', '29', '34', '46'] -> 29 - ((34 + 46) / 16)
[221] ['16', '29', '35', '45'] -> 29 - ((35 + 45) / 16)
[222] ['16', '29', '36', '44'] -> 29 - ((36 + 44) / 16)
[223] ['16', '29', '37', '43'] -> 29 - ((37 + 43) / 16)
[224] ['16', '29', '38', '42'] -> 29 - ((38 + 42) / 16)
[225] ['16', '29', '39', '41'] -> 29 - ((39 + 41) / 16)
[226] ['16', '29', '40', '40'] -> 29 - ((40 + 40) / 16)
[227] ['16', '29', '40', '41'] -> ((16 * 41) + 40) / 29
[228] ['16', '29', '40', '49'] -> ((29 * 40) + 16) / 49
[229] ['16', '30', '32', '43'] -> ((16 * 43) + 32) / 30
[230] ['16', '30', '32', '47'] -> ((16 * 47) - 32) / 30
[231] ['16', '30', '47', '49'] -> 30 - ((47 + 49) / 16)
[232] ['16', '31', '40', '44'] -> ((16 * 44) + 40) / 31
[233] ['16', '32', '32', '42'] -> ((32 * 32) - 16) / 42
[234] ['16', '32', '32', '46'] -> ((16 * 46) + 32) / 32
[235] ['16', '32', '34', '49'] -> ((16 * 49) + 32) / 34
[236] ['16', '32', '45', '48'] -> ((16 * 45) + 48) / 32
[237] ['17', '18', '21', '48'] -> ((21 - 17) * 18) - 48
[238] ['17', '18', '23', '41'] -> ((17 * 23) + 41) / 18
[239] ['17', '18', '25', '42'] -> ((18 * 25) - 42) / 17
[240] ['17', '18', '27', '27'] -> ((17 * 27) - 27) / 18
[241] ['17', '18', '27', '30'] -> (17 * 30) - (18 * 27)
[242] ['17', '18', '28', '44'] -> ((17 * 28) - 44) / 18
[243] ['17', '18', '29', '42'] -> ((17 * 42) - 18) / 29
[244] ['17', '18', '41', '42'] -> (18 * 41) - (17 * 42)
[245] ['17', '18', '44', '48'] -> (17 * 48) - (18 * 44)
[246] ['17', '19', '19', '47'] -> ((19 * 19) + 47) / 17
[247] ['17', '19', '23', '29'] -> ((19 * 23) - 29) / 17
[248] ['17', '19', '25', '31'] -> ((17 * 25) + 31) / 19
[249] ['17', '19', '27', '35'] -> ((19 * 35) - 17) / 27
[250] ['17', '19', '27', '37'] -> ((17 * 37) + 19) / 27
[251] ['17', '19', '29', '37'] -> ((17 * 29) - 37) / 19
[252] ['17', '19', '30', '37'] -> ((19 * 37) + 17) / 30
[253] ['17', '19', '36', '49'] -> ((36 + 49) / 17) + 19
